fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,BDBS_match,photometry_ok,gaia_ok,phot_g_mean_mag,umag,gmag,rmag,imag,zmag,ymag,u0,g0,r0,i0,z0,y0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RVraw,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeHDP_W2,FeHDP_W3,FeHDP_W3_minus_W2,FeHDP_flag,FeHDP_quality,Teff_avg_SP,Teff_std_SP,logg_avg_SP,logg_stddex_SP,MH_avg_SP,MH_stddex_SP,FeH_avg_SP,FeH_stddex_SP,aFe_avg_SP,aFe_stddex_SP,SP_FeH_N,SP_aFe_N,SP_quality,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_auto_rejected_bands,SED_phot_mismatch_bool,SED_best_Teff,SED_best_logg,SED_best_FeH,SED_best_aFe,dTeff_SED_minus_SP,dlogg_SED_minus_SP,dFeH_SED_minus_SP,daFe_SED_minus_SP,SED_agreement,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,aFe_adopted,e_aFe_adopted,aFe_source,chem_window_adopted,high_alpha_window,table_use_flag
42,273.832,-32.145,4045859158472791168,148910993,543038,matched,TRUE,TRUE,15.358,19.488,16.607,15.486,14.895,14.579,14.353,18.43,15.762,14.866,14.436,14.226,14.072,-3.895,0.038,-7.002,0.029,0.062,0.033,75.115,61.762,3.269,40.5,good,FALSE,1.406,3.161,2.571,5.732,-0.788,0.037,-0.814648,-0.761796,0.052852,ok,good,4369,91,2.657,0.71,-0.655,0.125,-0.939,0.139,0.432,0.248,2,2,good,modeled,TRUE,6,0.585,,FALSE,4250,2.5,-1,0.4,-119,-0.157,-0.061,-0.032,consistent,4369,100,2.657,0.71,-0.869,0.102,SP_Ace+CaT_DP_consensus,0.432,0.248,SP_Ace,TRUE,TRUE,primary
43,273.779,-32.085,4045872391336764160,148776408,524556,matched,TRUE,TRUE,15.941,20.141,17.253,16.045,15.49,15.128,14.887,18.693,16.097,15.197,14.862,14.645,14.502,-3.236,0.053,-8.828,0.039,0.198,0.047,88.858,75.504,3.314,32.3,good,FALSE,1.481,2.919,2.441,5.36,-0.776,0.057,-0.815771,-0.735769,0.080002,ok,good,4591,145.6,2.803,0.349,-0.41,0.136,-0.577,0.147,0.249,0.212,2,2,good,modeled,TRUE,6,0.838,,FALSE,4250,3,-1,0.4,-341,0.197,-0.423,0.151,check,4591,145.6,2.803,0.349,-0.674,0.105,SP_Ace+CaT_DP_consensus,0.249,0.212,SP_Ace,TRUE,TRUE,secondary
44,273.62,-31.925,4048879826197556864,148362154,450664,matched,TRUE,TRUE,17.18,20.886,18.403,17.285,16.74,16.401,16.196,19.145,17.013,16.265,15.985,15.82,15.734,-3.852,0.094,-6.513,0.071,0.065,0.075,-11.314,-24.667,3.872,18.4,usable,FALSE,1.24,2.663,2.194,4.857,-0.721,0.005,-0.717307,-0.724547,-0.00724,ok,good,5343.5,302.4,3.625,0.754,-0.263,0.156,-0.304,0.17,0.082,0.248,2,2,usable,modeled,TRUE,5,1.044,u,FALSE,4750,3,0.25,0,-593.5,-0.625,0.554,-0.082,check,5343.5,302.4,3.625,0.754,-0.304,0.17,SP_Ace_primary_CaT_DP_disagrees,0.082,0.248,SP_Ace,FALSE,FALSE,secondary
45,273.6,-31.925,4048879521320152448,148312254,441470,matched,TRUE,TRUE,17.058,20.582,18.227,17.152,16.638,16.31,16.171,18.787,16.794,16.1,15.86,15.711,15.694,-3.799,0.088,-6.359,0.063,0.163,0.078,122.077,108.724,5.009,18,usable,FALSE,0.845,2.417,1.767,4.184,-1.059,0.106,-0.983826,-1.134056,-0.15023,ok,good,5598,211.4,3.63,0.955,-0.43,0,-0.43,0,0,0,2,2,usable,modeled,TRUE,5,1.126,u,FALSE,5000,3,0,0,-598,-0.63,0.43,0,check,5598,211.4,3.63,0.955,-0.43,0.12,SP_Ace_primary_CaT_DP_disagrees,0,0.1,SP_Ace,FALSE,FALSE,secondary
46,273.698,-32.104,4045870703345010048,148565004,488395,matched,TRUE,TRUE,14.468,19.59,16.251,17.71,13.709,13.274,16.224,18.369,15.276,16.995,13.18,12.867,15.9,-4.236,0.029,-7.403,0.02,0.07,0.026,191.893,178.539,3.225,48.6,good,FALSE,1.624,3.514,2.935,6.449,-0.755,0.093,-0.82128,-0.689512,0.131768,ok,good,3993,68,1.952,0.443,-0.41,0.125,-0.566,0.184,0.251,0.353,2,2,good,modeled,FALSE,5,247.016,y,TRUE,3400,2.5,-0.25,0.1,-593,0.548,0.316,-0.151,check,3993,100,1.952,0.443,-0.68,0.116,SP_Ace+CaT_DP_consensus,0.251,0.353,SP_Ace,TRUE,TRUE,secondary
48,273.464,-31.97,4048878417407596416,147952362,373273,matched,TRUE,TRUE,17.01,20.163,18.04,17.028,16.471,16.219,16.029,18.364,16.604,15.974,15.691,15.619,15.551,-3.36,0.117,-7.824,0.087,0.184,0.103,-62.789,-76.143,3.205,20.6,good,FALSE,0.906,2.288,1.826,4.114,-1.111,0.091,-1.046647,-1.174795,-0.128148,ok,good,5529,444.1,3.99,0.944,-0.55,0.244,-0.55,0.51,0,0.14,2,2,weak,modeled,TRUE,5,0.147,u,FALSE,4750,3.5,-0.5,0.2,-779,-0.49,0.05,0.2,check,5529,444.1,3.99,0.944,-0.55,0.51,SP_Ace_primary_CaT_DP_disagrees,0,0.14,SP_Ace,FALSE,FALSE,RV_CaT_only
52,273.462,-31.952,4048881376635763840,147947362,372314,matched,TRUE,TRUE,17.191,20.705,18.391,17.283,16.686,16.307,16.153,18.832,16.896,16.186,15.874,15.682,15.656,-4.106,0.091,-7.42,0.068,0.066,0.079,-35.116,-48.47,3.28,17.4,usable,TRUE,0.98,2.735,2.275,5.009,-0.725,0.072,-0.67404,-0.7754,-0.10136,ok,good,5461,304.1,3.01,0.735,-0.533,0.201,-0.58,0.379,0.072,0.604,2,2,usable,modeled,TRUE,5,0.909,u,FALSE,4750,2,-0.5,0.2,-711,-1.01,0.08,0.128,check,5461,304.1,3.01,0.735,-0.705,0.139,SP_Ace+CaT_DP_consensus,0.072,0.604,SP_Ace,FALSE,FALSE,secondary
53,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,19.534,6.18,3.33,20.1,good,FALSE,0.688,1.928,1.827,3.755,,,,,,no imag,none,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,,,none,,,none,FALSE,FALSE,caution
54,273.836,-32.171,4045858849235077504,148922961,544456,matched,TRUE,TRUE,15.995,19.508,16.967,16.073,15.667,15.418,15.244,18.518,16.177,15.493,15.238,15.088,14.981,-3.47,0.053,-6.557,0.038,-0.038,0.044,27.203,13.849,3.365,16,usable,FALSE,1.435,3.257,2.62,5.877,-0.557,0.045,-0.588891,-0.525541,0.06335,ok,good,4783.5,277.1,3.186,0.547,-0.218,0.157,-0.376,0.201,0.264,0.531,2,2,usable,modeled,TRUE,5,0.533,u,FALSE,4750,2,-0.75,0.3,-33.5,-1.186,-0.374,0.036,check,4783.5,277.1,3.186,0.547,-0.493,0.12,SP_Ace+CaT_DP_consensus,0.264,0.531,SP_Ace,FALSE,FALSE,secondary
56,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,6.858,-6.496,3.869,18.1,usable,FALSE,0.691,1.652,1.616,3.268,,,,,,no imag,none,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,,,none,,,none,FALSE,FALSE,caution
57,273.511,-31.922,4048878971453998976,148075650,396450,matched,TRUE,TRUE,16.612,20.52,17.977,16.751,16.108,15.726,15.522,18.484,16.352,15.559,15.225,15.047,14.981,-4.104,0.129,-7.398,0.094,-0.192,0.109,-15.701,-29.055,3.355,39,good,TRUE,1.44,3.017,2.519,5.536,-0.581,0.046,-0.613355,-0.548195,0.06516,ok,good,4653,96.3,3.039,0.39,-0.305,0.103,-0.4,0.121,0.145,0.277,2,2,good,modeled,TRUE,5,0.121,u,FALSE,4500,3,-0.5,0.2,-153,-0.039,-0.1,0.055,consistent,4653,100,3.039,0.39,-0.472,0.094,SP_Ace+CaT_DP_consensus,0.145,0.277,SP_Ace,FALSE,FALSE,primary
58,273.576,-31.968,4048879280801579520,148246848,428987,matched,TRUE,TRUE,17.217,20.647,18.433,17.339,16.685,16.381,16.207,18.553,16.762,16.113,15.777,15.683,15.651,-4.051,0.099,-7.35,0.071,0.039,0.084,-32.268,-45.621,3.827,15.9,usable,TRUE,1.055,2.858,2.147,5.005,-0.713,0.052,-0.676075,-0.750285,-0.07421,ok,good,5256.5,228.7,2.736,1.368,-0.434,0.352,-0.915,0.96,0.64,1,2,2,weak,modeled,TRUE,6,0.264,,FALSE,4750,1.5,-1.5,0.4,-506.5,-1.236,-0.585,-0.24,check,5256.5,228.7,2.736,1.368,-0.718,0.148,SP_Ace+CaT_DP_consensus,0.64,1,SP_Ace,TRUE,TRUE,RV_CaT_only
60,273.571,-32.026,4048877391015906304,148234481,426591,matched,TRUE,TRUE,17.407,21.101,18.618,17.514,16.906,16.567,16.394,19.228,17.123,16.417,16.094,15.942,15.897,-4.882,0.106,-7.367,0.078,0.167,0.088,-73.277,-86.631,3.827,11.8,weak,FALSE,0.951,2.811,1.798,4.609,-0.826,0.079,-0.769826,-0.881684,-0.111858,ok,good,5211.5,457.8,3.351,1.358,-0.825,0.48,-0.94,0.028,0.18,0.394,2,2,weak,modeled,TRUE,6,1.097,,FALSE,4500,3,-1.5,0.4,-711.5,-0.351,-0.56,0.22,check,5211.5,457.8,3.351,1.358,-0.895,0.094,SP_Ace+CaT_DP_consensus,0.18,0.394,SP_Ace,TRUE,FALSE,caution
61,273.622,-32.056,4045874727851137152,148367453,451600,matched,TRUE,TRUE,15.869,19.782,17.201,16.009,15.406,15.031,14.777,17.995,15.775,14.962,14.631,14.435,14.302,-3.279,0.055,-7.599,0.044,0.034,0.048,-65.073,-78.426,3.215,40,good,FALSE,1.439,2.6,2.133,4.733,-1.029,0.046,-1.061598,-0.9968,0.064798,ok,good,4646,106,1.123,0.558,-1.044,0.105,-1.23,0.146,0.278,0.314,2,2,good,modeled,TRUE,6,1.255,,FALSE,4500,1.5,-1.5,0.4,-146,0.377,-0.27,0.122,consistent,4646,106,1.123,0.558,-1.133,0.104,SP_Ace+CaT_DP_consensus,0.278,0.314,SP_Ace,FALSE,FALSE,primary
63,273.555,-32.048,4048876974301232512,148192799,418550,matched,TRUE,TRUE,17.309,21.002,18.503,17.421,16.848,16.547,16.347,19.273,17.123,16.408,16.098,15.97,15.888,-3.688,0.099,-6.436,0.073,0.058,0.084,273.913,260.56,3.371,18.2,usable,FALSE,0.943,2.204,2.202,4.406,-0.914,0.081,-0.856329,-0.971083,-0.114754,ok,good,5338.5,233.1,3.511,0.691,-0.33,0.152,-0.27,0.255,-0.099,0.424,2,2,usable,modeled,TRUE,5,0.811,u,FALSE,4750,3,0,0,-588.5,-0.511,0.27,0.099,check,5338.5,233.1,3.511,0.691,-0.27,0.255,SP_Ace_primary_CaT_DP_disagrees,-0.099,0.424,SP_Ace,FALSE,FALSE,secondary
64,273.721,-32.245,4045856929503659392,148628030,499994,matched,TRUE,TRUE,15.629,19.222,16.66,15.687,15.278,14.969,14.8,18.295,15.92,15.144,14.876,14.66,14.554,-5.045,0.043,-7.846,0.032,0.107,0.037,104.714,91.36,3.21,35,good,FALSE,1.464,3.117,2.406,5.523,-0.767,0.052,-0.804346,-0.730498,0.073848,ok,good,4778,87.4,3.046,0.276,-0.323,0.101,-0.524,0.092,0.299,0.188,2,2,good,modeled,TRUE,6,1.167,,FALSE,4500,2.5,-1,0.4,-278,-0.546,-0.476,0.101,check,4778,100,3.046,0.276,-0.619,0.094,SP_Ace+CaT_DP_consensus,0.299,0.188,SP_Ace,TRUE,TRUE,secondary
65,273.591,-32.027,4045875067034844928,148288042,436891,matched,TRUE,TRUE,16.923,20.515,18.131,17.041,16.486,16.115,15.909,18.661,16.651,15.955,15.682,15.496,15.416,-4.608,0.082,-7.787,0.061,0.11,0.07,-69.995,-83.348,5.214,15.8,usable,FALSE,0.806,3.474,2.153,5.627,-0.578,0.116,-0.495574,-0.659922,-0.164348,ok,good,5249,270,3.579,0.852,-0.587,0.202,-0.674,0.378,0.159,0.435,2,2,usable,modeled,TRUE,6,0.62,,FALSE,4500,3,-1,0.4,-749,-0.579,-0.326,0.241,check,5249,270,3.579,0.852,-0.591,0.139,SP_Ace+CaT_DP_consensus,0.159,0.435,SP_Ace,TRUE,FALSE,secondary
66,273.592,-32.076,4045874659131668608,148290265,437324,matched,TRUE,TRUE,16.899,20.562,18.063,16.968,16.46,16.13,15.899,18.993,16.811,16.049,15.78,15.607,15.482,-4.327,0.119,-7.204,0.09,-0.155,0.094,78.072,64.719,4.12,22.9,good,FALSE,1.517,2.728,2.434,5.162,-0.623,0.066,-0.66974,-0.576706,0.093034,ok,good,5197,170.7,3.307,0.449,-0.322,0.154,-0.465,0.23,0.213,0.675,2,2,usable,modeled,TRUE,6,0.469,,FALSE,4500,3,-1,0.4,-697,-0.307,-0.535,0.187,check,5197,170.7,3.307,0.449,-0.576,0.126,SP_Ace+CaT_DP_consensus,0.213,0.675,SP_Ace,TRUE,TRUE,secondary
67,273.598,-32.117,4045873417767335680,148307113,440477,matched,TRUE,TRUE,17.288,20.096,18.303,17.376,16.952,16.686,16.454,18.551,17.069,16.471,16.282,16.171,16.044,-4.387,0.121,-7.427,0.091,0.034,0.101,-48.473,-61.827,3.22,15.1,usable,TRUE,1.406,2.39,1.514,3.904,-0.988,0.037,-1.014711,-0.961859,0.052852,ok,good,6018,0,3.68,1.092,-1.065,0.213,-1.05,0,-0.023,0.034,2,2,usable,modeled,TRUE,5,1.254,g,FALSE,5250,3,-0.5,0.2,-768,-0.68,0.55,0.223,check,6018,100,3.68,1.092,-1.026,0.094,SP_Ace+CaT_DP_consensus,-0.023,0.1,SP_Ace,FALSE,FALSE,secondary
68,273.665,-32.241,4045774981544395264,148481036,472646,matched,TRUE,TRUE,16.18,19.358,17.171,16.25,15.819,15.568,15.386,18.449,16.446,15.718,15.425,15.265,15.145,-4.252,0.057,-7.09,0.043,0.137,0.054,42.219,28.866,3.741,25.6,good,FALSE,0.929,2.721,2.259,4.981,-0.939,0.085,-0.87949,-0.999312,-0.119822,ok,good,5644,281.4,2.6,1.23,-0.45,0.233,-0.45,0.187,0,0.368,2,2,good,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,5644,281.4,2.6,1.23,-0.45,0.187,SP_Ace_primary_CaT_DP_disagrees,0,0.368,SP_Ace,FALSE,FALSE,primary
69,273.574,-32.15,4045779375162862080,148241343,427932,matched,TRUE,TRUE,13.878,20.314,16.51,14.8,13.289,12.607,12.228,18.629,15.165,13.813,12.559,12.045,11.78,-3.835,0.027,-7.228,0.019,0.062,0.023,-24.61,-37.964,4.582,55.1,good,TRUE,1.587,2.999,2.702,5.701,-1.127,0.084,-1.186321,-1.067947,0.118374,ok,good,3839.5,62,1.757,0.422,-0.585,0.131,-0.684,0.123,0.172,0.206,2,2,good,modeled,TRUE,6,0.979,,FALSE,3500,2,-1,0.4,-339.5,0.243,-0.316,0.228,check,3839.5,100,1.757,0.422,-0.684,0.123,SP_Ace_primary_CaT_DP_disagrees,0.172,0.206,SP_Ace,TRUE,FALSE,secondary
70,273.562,-32.077,4045874452973272320,148210133,421881,matched,TRUE,TRUE,16.063,19.58,17.277,16.182,15.63,15.298,15.084,17.98,16,15.245,14.936,14.764,14.659,-3.427,0.062,-7.986,0.045,0.099,0.053,71.919,58.566,3.692,47,good,FALSE,1.429,3.215,2.52,5.735,-0.618,0.043,-0.648599,-0.587421,0.061178,ok,good,5181,156.1,4.216,0.452,-0.345,0.164,-0.459,0.195,0.173,0.5,2,2,good,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,5181,156.1,4.216,0.452,-0.559,0.119,SP_Ace+CaT_DP_consensus,0.173,0.5,SP_Ace,TRUE,FALSE,primary
71,273.534,-32.046,4048877013058797440,148137897,408309,matched,TRUE,TRUE,16.694,20.045,17.823,16.776,16.246,15.902,15.74,18.351,16.471,15.784,15.512,15.337,15.29,-4.6,0.106,-7.121,0.076,-0.054,0.086,2.599,-10.754,3.727,19.9,usable,FALSE,0.766,1.974,1.818,3.793,-1.303,0.126,-1.21371,-1.392538,-0.178828,ok,usable,6290,456.4,3.78,0,-0.25,0.194,-0.25,0.156,0,0.348,2,2,usable,modeled,FALSE,5,7.664,g,TRUE,5500,3,0,0,-790,-0.78,0.25,0,check,6290,456.4,3.78,0.2,-0.25,0.156,SP_Ace_primary_CaT_DP_disagrees,0,0.348,SP_Ace,FALSE,FALSE,secondary
72,273.63,-32.253,4045774908399432576,148389915,455776,matched,TRUE,TRUE,15.281,19.681,16.609,15.431,14.814,14.486,14.222,18.453,15.628,14.712,14.281,14.076,13.896,-3.942,0.039,-6.528,0.03,0.054,0.032,73.646,60.292,3.352,40.2,good,FALSE,1.145,2.888,2.398,5.286,-1.015,0.029,-0.99428,-1.03591,-0.04163,ok,good,4296.5,100,2.306,0.308,-0.873,0.124,-1.01,0.078,0.213,0.229,2,2,good,modeled,TRUE,6,0.838,,FALSE,4250,2,-1.5,0.4,-46.5,-0.306,-0.49,0.187,check,4296.5,100,2.306,0.308,-1.012,0.094,SP_Ace+CaT_DP_consensus,0.213,0.229,SP_Ace,TRUE,TRUE,secondary
73,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,104.455,91.101,5,20,good,FALSE,0.49,1.756,1.448,3.204,,,,,,no imag,none,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,,,none,,,none,FALSE,FALSE,caution
74,273.576,-32.187,4045779070352919040,148246507,428926,matched,TRUE,TRUE,16.165,20.135,17.352,16.277,15.735,15.432,15.253,18.673,16.185,15.421,15.101,14.944,14.865,-3.549,0.055,-8.629,0.04,0.058,0.049,146.819,133.465,3.421,30.2,good,FALSE,1.32,2.852,2.27,5.122,-0.836,0.015,-0.846939,-0.825219,0.02172,ok,good,5002.5,100.9,2.793,0.369,-0.374,0.098,-0.55,0.123,0.249,0.271,2,2,good,modeled,TRUE,6,0.026,,FALSE,4500,3,-0.75,0.3,-502.5,0.207,-0.2,0.051,check,5002.5,100.9,2.793,0.369,-0.665,0.095,SP_Ace+CaT_DP_consensus,0.249,0.271,SP_Ace,TRUE,TRUE,secondary
75,273.472,-32.047,4048783309651260032,147973061,377178,matched,TRUE,TRUE,16.194,20.007,17.454,16.339,15.749,15.432,15.178,18.228,16.034,15.297,14.978,14.839,14.705,-4.051,0.057,-7.752,0.042,0.06,0.05,-133.022,-146.376,3.377,33.7,good,FALSE,1.265,2.931,2.279,5.209,-0.811,0.001,-0.811941,-0.810131,0.00181,ok,good,4860,124.6,2.167,0.528,-0.708,0.135,-1.017,0.136,0.441,0.279,2,2,good,modeled,TRUE,6,0.228,,FALSE,4500,3,-1.5,0.4,-360,0.833,-0.483,-0.041,check,4860,124.6,2.167,0.528,-0.924,0.101,SP_Ace+CaT_DP_consensus,0.441,0.279,SP_Ace,TRUE,TRUE,secondary
76,273.423,-31.995,4048881200572580992,147840142,351658,matched,TRUE,TRUE,15.778,20.396,17.164,15.867,15.299,14.969,14.695,18.594,15.725,14.811,14.518,14.368,14.216,-4.99,0.073,-7.454,0.054,-0.104,0.062,0.198,-13.156,3.254,30.1,good,FALSE,1.595,3.238,2.592,5.83,-0.628,0.086,-0.688499,-0.567229,0.12127,ok,good,4578.5,109.3,2.857,0.32,-0.194,0.113,-0.264,0.127,0.11,0.23,2,2,good,modeled,TRUE,6,0.71,,FALSE,4500,3,-0.75,0.3,-78.5,0.143,-0.486,0.19,check,4578.5,109.3,2.857,0.32,-0.264,0.127,SP_Ace_primary_CaT_DP_disagrees,0.11,0.23,SP_Ace,FALSE,FALSE,secondary
77,273.546,-32.142,4045780169864983552,148168347,414014,matched,TRUE,TRUE,16.371,20.065,17.546,16.48,15.98,15.633,15.424,18.376,16.197,15.49,15.247,15.069,14.975,-4.577,0.076,-7.797,0.057,0.008,0.055,9.204,-4.15,4.368,24.6,good,FALSE,1.223,2.657,2.441,5.098,-0.807,0.009,-0.800639,-0.814033,-0.013394,ok,good,5154.5,184.5,3.489,0.609,-0.319,0.112,-0.7,0.285,0.517,0.302,2,2,usable,modeled,TRUE,6,1.011,,FALSE,4750,3,-1,0.4,-404.5,-0.489,-0.3,-0.117,check,5154.5,184.5,3.489,0.609,-0.784,0.133,SP_Ace+CaT_DP_consensus,0.517,0.302,SP_Ace,TRUE,TRUE,secondary
78,273.534,-32.186,4045779203364149248,148135928,407944,matched,TRUE,TRUE,16.248,20.031,17.435,16.357,15.795,15.486,15.312,18.518,16.227,15.471,15.139,14.981,14.91,-4.175,0.061,-8.272,0.046,0.127,0.051,187.066,173.713,3.529,27.7,good,FALSE,1.149,2.781,2.402,5.183,-0.831,0.028,-0.81139,-0.851572,-0.040182,ok,good,5005,224.2,2.61,0.507,-0.406,0.141,-0.601,0.186,0.3,0.282,2,2,good,modeled,TRUE,5,0.016,u,FALSE,4500,2,-0.75,0.3,-505,-0.61,-0.149,0,check,5005,224.2,2.61,0.507,-0.741,0.117,SP_Ace+CaT_DP_consensus,0.3,0.282,SP_Ace,TRUE,TRUE,secondary
79,273.519,-32.116,4045780474674498304,148096462,400440,matched,TRUE,TRUE,16.428,19.93,17.561,16.512,15.988,15.712,15.478,18.43,16.364,15.634,15.338,15.212,15.08,-3.496,0.098,-6.917,0.071,0.23,0.083,9.399,-3.955,3.773,25.9,good,FALSE,1.177,2.64,1.717,4.356,-1.082,0.021,-1.067086,-1.097132,-0.030046,ok,good,5084.5,165.7,2.756,0.574,-0.506,0.176,-0.83,0.182,0.452,0.322,2,2,good,modeled,TRUE,5,0.899,g,FALSE,4750,2.5,-0.75,0.3,-334.5,-0.256,0.08,-0.152,check,5084.5,165.7,2.756,0.574,-0.98,0.116,SP_Ace+CaT_DP_consensus,0.452,0.322,SP_Ace,TRUE,TRUE,secondary
80,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,-12.782,-26.136,4.126,24.4,good,TRUE,0.684,1.591,1.484,3.075,,,,,,no imag,none,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,,,none,,,none,FALSE,FALSE,caution
81,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,-49.852,-63.205,4.024,32.3,good,TRUE,0.531,1.348,1.698,3.046,,,,,,no imag,none,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,,,none,,,none,FALSE,FALSE,caution
82,273.555,-32.286,4045775153313046272,148192745,418537,matched,TRUE,TRUE,16.27,19.729,17.322,16.336,15.879,15.64,15.425,18.812,16.59,15.799,15.481,15.334,15.181,-4.58,0.098,-6.05,0.072,0.125,0.087,-50.697,-64.051,7.2,23.7,good,TRUE,1.219,2.815,2.326,5.141,-0.815,0.01,-0.807742,-0.822584,-0.014842,ok,good,5052.5,168.9,2.015,0.553,-0.47,0.139,-0.676,0.184,0.31,0.351,2,2,good,modeled,TRUE,5,0.441,u,FALSE,4500,1.5,-0.75,0.3,-552.5,-0.515,-0.074,-0.01,check,5052.5,168.9,2.015,0.553,-0.759,0.116,SP_Ace+CaT_DP_consensus,0.31,0.351,SP_Ace,TRUE,TRUE,secondary
83,273.348,-32.117,4048782145776353024,147635300,311085,matched,TRUE,TRUE,16.705,19.972,17.822,16.798,16.289,16.044,15.813,18.437,16.596,15.899,15.623,15.532,15.405,-4.396,0.076,-6.697,0.057,0.023,0.064,64.425,51.071,3.326,24.5,good,FALSE,1.094,2.475,2.029,4.504,-0.976,0.042,-0.946315,-1.006407,-0.060092,ok,good,5469.5,238.1,3.5,0.651,-0.688,0.135,-0.7,0.29,0.022,0.43,2,2,usable,modeled,TRUE,5,0.468,u,FALSE,4750,2.5,-0.75,0.3,-719.5,-1,-0.05,0.278,check,5469.5,238.1,3.5,0.651,-0.918,0.133,SP_Ace+CaT_DP_consensus,0.022,0.43,SP_Ace,FALSE,FALSE,secondary
84,273.535,-32.289,4045773877604612992,148138226,408378,matched,TRUE,TRUE,15.499,19.325,16.649,15.576,15.107,14.779,14.579,18.328,15.853,14.992,14.675,14.446,14.314,-4.063,0.043,-6.252,0.031,-0.017,0.04,-45.995,-59.349,3.282,34.2,good,TRUE,1.302,2.694,2.224,4.918,-1.054,0.011,-1.061735,-1.046531,0.015204,ok,good,4287.5,131.3,1.873,0.451,-0.833,0.158,-1.234,0.089,0.528,0.249,2,2,good,modeled,TRUE,6,0.461,,FALSE,4250,2,-1.5,0.4,-37.5,0.127,-0.266,-0.128,consistent,4287.5,131.3,1.873,0.451,-1.164,0.094,SP_Ace+CaT_DP_consensus,0.528,0.249,SP_Ace,FALSE,FALSE,primary
85,273.448,-32.167,4045779860627209600,147908323,364940,matched,TRUE,TRUE,14.001,19.946,16.82,15.047,13.156,12.229,11.759,18.407,15.592,14.146,12.489,11.716,11.35,-4.459,0.047,-8.096,0.035,0.115,0.039,-76.377,-89.731,5.512,41.8,good,FALSE,0.862,1.356,1.557,2.913,-2.297,0.102,-2.225428,-2.369504,-0.144076,ok,good,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,-2.297,0.15,CaT_DP_only,,,none,FALSE,FALSE,RV_CaT_only
86,273.423,-32.043,4048784203005973504,147839291,351494,matched,TRUE,TRUE,16.723,20.732,18.038,16.863,16.252,15.872,15.644,18.784,16.483,15.722,15.407,15.222,15.127,-4.658,0.076,-8.105,0.058,0.22,0.06,-35.59,-48.943,3.225,23.4,good,TRUE,1.284,2.879,2.16,5.038,-0.757,0.006,-0.760949,-0.752261,0.008688,ok,good,4815,285.3,1.171,0.599,-0.709,0.204,-1.021,0.285,0.429,0.323,2,2,usable,modeled,TRUE,6,0.431,,FALSE,4750,0.5,-1.5,0.4,-65,-0.671,-0.479,-0.029,check,4815,285.3,1.171,0.599,-0.814,0.133,SP_Ace+CaT_DP_consensus,0.429,0.323,SP_Ace,TRUE,TRUE,secondary
87,273.37,-32.041,4048786814346092032,147694125,322634,matched,TRUE,TRUE,16.624,20.255,17.856,16.76,16.174,15.815,15.588,18.663,16.585,15.828,15.484,15.284,15.165,-4.271,0.064,-6.701,0.048,0.096,0.057,97.303,83.949,3.539,23.7,good,FALSE,1.082,2.682,2.141,4.823,-0.889,0.046,-0.856648,-0.921084,-0.064436,ok,good,5284,299.4,2.227,0.809,-0.667,0.273,-0.878,0.356,0.294,0.53,2,2,usable,modeled,TRUE,5,0.56,u,FALSE,4500,1,-1,0.4,-784,-1.227,-0.122,0.106,check,5284,299.4,2.227,0.809,-0.887,0.138,SP_Ace+CaT_DP_consensus,0.294,0.53,SP_Ace,TRUE,TRUE,secondary
