fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,BDBS_match,photometry_ok,gaia_ok,phot_g_mean_mag,umag,gmag,rmag,imag,zmag,ymag,u0,g0,r0,i0,z0,y0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RVraw,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeHDP_W2,FeHDP_W3,FeHDP_W3_minus_W2,FeHDP_flag,FeHDP_quality,Teff_avg_SP,Teff_std_SP,logg_avg_SP,logg_stddex_SP,MH_avg_SP,MH_stddex_SP,FeH_avg_SP,FeH_stddex_SP,aFe_avg_SP,aFe_stddex_SP,SP_FeH_N,SP_aFe_N,SP_quality,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_auto_rejected_bands,SED_phot_mismatch_bool,SED_best_Teff,SED_best_logg,SED_best_FeH,SED_best_aFe,dTeff_SED_minus_SP,dlogg_SED_minus_SP,dFeH_SED_minus_SP,daFe_SED_minus_SP,SED_agreement,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,aFe_adopted,e_aFe_adopted,aFe_source,chem_window_adopted,high_alpha_window,table_use_flag
14,273.749,-31.901,4045883077210370304,148698867,511980,matched,TRUE,TRUE,17.031,20.784,18.263,17.119,16.537,16.19,16.032,19.012,16.848,16.081,15.768,15.599,15.561,-4.294,0.101,-6.419,0.079,0.061,0.08,121.808,108.454,6.138,22.6,good,FALSE,1.618,3.689,2.633,6.322,-0.168,0.092,-0.232538,-0.102942,0.129596,ok,good,5369,374.1,3.85,0.368,-0.39,0.194,-0.39,0,0,0.33,2,2,good,modeled,TRUE,5,0.769,g,FALSE,4750,3,-0.5,0.2,-619,-0.85,-0.11,0.2,check,5369,374.1,3.85,0.368,-0.303,0.094,SP_Ace+CaT_DP_consensus,0,0.33,SP_Ace,FALSE,FALSE,secondary
15,273.697,-31.933,4045877231741739648,148563541,488101,matched,TRUE,TRUE,16.05,20.085,17.366,16.186,15.493,15.229,15.023,18.306,15.946,15.144,14.721,14.635,14.55,-4.65,0.065,-7.963,0.047,0.216,0.053,36.385,23.031,3.692,27.1,good,FALSE,1.603,3.393,2.651,6.044,-0.505,0.088,-0.567489,-0.443323,0.124166,ok,good,5035.5,190.6,2.26,0.933,-0.414,0.129,-0.53,0.137,0.178,0.333,2,2,good,modeled,TRUE,5,0.537,u,FALSE,4500,1.5,-1,0.4,-535.5,-0.76,-0.47,0.222,check,5035.5,190.6,2.26,0.933,-0.519,0.101,SP_Ace+CaT_DP_consensus,0.178,0.333,SP_Ace,TRUE,FALSE,secondary
16,273.764,-31.859,4045883760046399872,148738138,518362,matched,TRUE,TRUE,16.465,20.38,17.769,16.524,15.973,15.563,15.389,18.786,16.496,15.59,15.282,15.031,14.966,-4.784,0.076,-8.37,0.057,0.069,0.066,147.522,134.168,3.792,27.4,good,FALSE,0.733,2.819,2.153,4.971,-0.943,0.135,-0.847822,-1.038596,-0.190774,ok,usable,4516.5,170.1,2.165,0.534,-0.701,0.194,-0.975,0.117,0.397,0.351,2,2,good,modeled,TRUE,5,0.494,u,FALSE,4250,2.5,-1,0.4,-266.5,0.335,-0.025,0.003,consistent,4516.5,170.1,2.165,0.534,-0.963,0.094,SP_Ace+CaT_DP_consensus,0.397,0.351,SP_Ace,TRUE,TRUE,primary
17,273.853,-31.939,4045879465078824064,148964098,549424,matched,TRUE,TRUE,15.505,19.551,16.702,15.622,15.075,14.754,14.56,18.219,15.638,14.842,14.497,14.31,14.206,-3.459,0.045,-6.92,0.033,0.027,0.04,266.214,252.86,3.259,32.4,good,FALSE,1.462,3.089,2.665,5.754,-0.73,0.052,-0.766285,-0.693161,0.073124,ok,good,4505,162.3,2.606,0.526,-0.599,0.158,-0.848,0.263,0.403,0.201,2,2,usable,modeled,TRUE,5,0.426,u,FALSE,4500,2,-1,0.4,-5,-0.606,-0.152,-0.003,consistent,4505,162.3,2.606,0.526,-0.759,0.13,SP_Ace+CaT_DP_consensus,0.403,0.201,SP_Ace,TRUE,TRUE,secondary
18,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,-34.184,-47.537,3.538,16.8,usable,TRUE,0.672,1.978,1.527,3.505,,,,,,no imag,none,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,,,none,,,none,FALSE,FALSE,caution
19,273.512,-31.871,4048883708806719872,148076970,396717,matched,TRUE,TRUE,16.54,20.27,17.701,16.644,16.124,15.776,15.605,18.5,16.288,15.607,15.356,15.186,15.135,-4.175,0.066,-7.402,0.049,0.103,0.056,-35.374,-48.728,3.255,29.1,good,TRUE,1.168,2.706,2.029,4.735,-0.916,0.024,-0.899726,-0.93303,-0.033304,ok,good,5029,191.6,2.628,0.813,-0.734,0.17,-0.817,0.361,0.142,0.917,2,2,weak,modeled,TRUE,6,0.365,,FALSE,4750,3,-1,0.4,-279,0.372,-0.183,0.258,consistent,5029,191.6,2.628,0.813,-0.902,0.138,SP_Ace+CaT_DP_consensus,0.142,0.917,SP_Ace,TRUE,FALSE,RV_CaT_only
20,273.663,-31.902,4048879796198031488,148474739,471477,matched,TRUE,TRUE,16.909,20.834,18.187,17.035,16.434,16.075,15.882,19.009,16.73,15.966,15.643,15.466,15.397,-3.493,0.084,-7.766,0.062,0.143,0.072,-72.183,-85.536,3.805,24.1,good,FALSE,1.398,3.07,2.641,5.711,-0.452,0.035,-0.476837,-0.426881,0.049956,ok,good,5101.5,419.5,3.508,1.371,-0.088,0.278,-0.198,0.577,0.437,0.562,2,2,weak,modeled,TRUE,6,0.167,,FALSE,4500,3,-0.75,0.3,-601.5,-0.508,-0.552,-0.137,check,5101.5,419.5,3.508,1.371,-0.436,0.145,SP_Ace+CaT_DP_consensus,0.437,0.562,SP_Ace,FALSE,FALSE,RV_CaT_only
21,273.73,-31.905,4045883244652619904,148651053,503934,matched,TRUE,TRUE,16.881,20.481,18.026,16.883,16.305,15.928,15.704,18.704,16.608,15.842,15.535,15.335,15.232,-3.833,0.122,-6.852,0.097,0.087,0.106,52.223,38.869,3.616,24.4,good,FALSE,1.169,2.577,1.994,4.571,-0.935,0.023,-0.91847,-0.951412,-0.032942,ok,good,5269,168.8,3.526,0.408,-0.357,0.136,-0.415,0.277,0.088,0.765,2,2,usable,modeled,TRUE,5,0.438,u,FALSE,4500,3,-0.5,0.2,-769,-0.526,-0.085,0.112,check,5269,168.8,3.526,0.408,-0.415,0.277,SP_Ace_primary_CaT_DP_disagrees,0.088,0.765,SP_Ace,FALSE,FALSE,secondary
22,273.379,-31.974,4048787712010611840,147717824,327247,matched,TRUE,TRUE,16.914,20.641,18.107,17.014,16.459,16.166,15.915,18.742,16.591,15.901,15.635,15.532,15.411,-3.809,0.078,-6.852,0.06,0.151,0.073,-34.699,-48.052,3.963,23.1,good,TRUE,1.431,2.971,2.159,5.13,-0.651,0.044,-0.681548,-0.619646,0.061902,ok,good,5059,172,3.556,0.42,-0.56,0.151,-0.66,0.246,0.156,0.34,2,2,good,modeled,TRUE,5,0.519,u,FALSE,4750,3,-0.25,0.1,-309,-0.556,0.41,-0.056,check,5059,172,3.556,0.42,-0.653,0.128,SP_Ace+CaT_DP_consensus,0.156,0.34,SP_Ace,TRUE,FALSE,secondary
23,273.765,-31.959,4045882046477355264,148739678,518604,matched,TRUE,TRUE,16.251,20.104,17.433,16.326,15.763,15.387,15.261,18.299,15.992,15.269,14.98,14.785,14.782,-3.373,0.07,-7.586,0.051,0.285,0.061,223.566,210.212,3.548,28.6,good,FALSE,1.392,2.85,2.388,5.238,-0.775,0.034,-0.798663,-0.750879,0.047784,ok,good,4759,134.8,2.718,0.403,-0.289,0.147,-0.434,0.133,0.218,0.228,2,2,good,modeled,TRUE,5,0.43,u,FALSE,4500,2.5,-0.75,0.3,-259,-0.218,-0.316,0.082,consistent,4759,134.8,2.718,0.403,-0.584,0.099,SP_Ace+CaT_DP_consensus,0.218,0.228,SP_Ace,TRUE,TRUE,primary
