fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,photometry_ok,gaia_ok,phot_g_mean_mag,i0,g0,r0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeH_avg_SP,FeH_stddex_SP,aFe_adopted,e_aFe_adopted,aFe_source,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_agreement,chem_window_adopted,high_alpha_window,table_use_flag
77,273.546,-32.142,4045780169864983552,148168347,414014,True,True,16.371,15.2470,16.1970,15.4900,-4.577,0.076,-7.797,0.057,0.008,0.055,-4.150,4.368,24.600,good,False,1.223,2.657,2.441,5.098,5154.5,184.5,3.489,0.609,-0.784,0.133,SP_Ace+CaT_DP_consensus,-0.807,0.009,-0.7,0.285,0.517,0.302,SP_Ace,modeled,True,6.0,1.011,check,True,True,secondary
78,273.534,-32.186,4045779203364149248,148135928,407944,True,True,16.248,15.1390,16.2270,15.4710,-4.175,0.061,-8.272,0.046,0.127,0.051,173.713,3.529,27.700,good,False,1.149,2.781,2.402,5.183,5005.0,224.2,2.61,0.507,-0.741,0.117,SP_Ace+CaT_DP_consensus,-0.831,0.028,-0.601,0.186,0.3,0.282,SP_Ace,modeled,True,5.0,0.016,check,True,True,secondary
79,273.519,-32.116,4045780474674498304,148096462,400440,True,True,16.428,15.3380,16.3640,15.6340,-3.496,0.098,-6.917,0.071,0.230,0.083,-3.955,3.773,25.900,good,False,1.177,2.640,1.717,4.356,5084.5,165.7,2.756,0.574,-0.98,0.116,SP_Ace+CaT_DP_consensus,-1.082,0.021,-0.83,0.182,0.452,0.322,SP_Ace,modeled,True,5.0,0.899,check,True,True,secondary
82,273.555,-32.286,4045775153313046272,148192745,418537,True,True,16.270,15.4810,16.5900,15.7990,-4.580,0.098,-6.050,0.072,0.125,0.087,-64.051,7.200,23.700,good,True,1.219,2.815,2.326,5.141,5052.5,168.9,2.015,0.553,-0.759,0.116,SP_Ace+CaT_DP_consensus,-0.815,0.01,-0.676,0.184,0.31,0.351,SP_Ace,modeled,True,5.0,0.441,check,True,True,secondary
83,273.348,-32.117,4048782145776353024,147635300,311085,True,True,16.705,15.6230,16.5960,15.8990,-4.396,0.076,-6.697,0.057,0.023,0.064,51.071,3.326,24.500,good,False,1.094,2.475,2.029,4.504,5469.5,238.1,3.5,0.651,-0.918,0.133,SP_Ace+CaT_DP_consensus,-0.976,0.042,-0.7,0.29,0.022,0.43,SP_Ace,modeled,True,5.0,0.468,check,False,False,secondary
84,273.535,-32.289,4045773877604612992,148138226,408378,True,True,15.499,14.6750,15.8530,14.9920,-4.063,0.043,-6.252,0.031,-0.017,0.040,-59.349,3.282,34.200,good,True,1.302,2.694,2.224,4.918,4287.5,131.3,1.873,0.451,-1.164,0.094,SP_Ace+CaT_DP_consensus,-1.054,0.011,-1.234,0.089,0.528,0.249,SP_Ace,modeled,True,6.0,0.461,consistent,False,False,primary
85,273.448,-32.167,4045779860627209600,147908323,364940,True,True,14.001,12.4890,15.5920,14.1460,-4.459,0.047,-8.096,0.035,0.115,0.039,-89.731,5.512,41.800,good,False,0.862,1.356,1.557,2.913,,,,,-2.297,0.15,CaT_DP_only,-2.297,0.102,,,,,none,failed,False,,,no_SED,False,False,RV_CaT_only
86,273.423,-32.043,4048784203005973504,147839291,351494,True,True,16.723,15.4070,16.4830,15.7220,-4.658,0.076,-8.105,0.058,0.220,0.060,-48.943,3.225,23.400,good,True,1.284,2.879,2.160,5.038,4815.0,285.3,1.171,0.599,-0.814,0.133,SP_Ace+CaT_DP_consensus,-0.757,0.006,-1.021,0.285,0.429,0.323,SP_Ace,modeled,True,6.0,0.431,check,True,True,secondary
87,273.370,-32.041,4048786814346092032,147694125,322634,True,True,16.624,15.4840,16.5850,15.8280,-4.271,0.064,-6.701,0.048,0.096,0.057,83.949,3.539,23.700,good,False,1.082,2.682,2.141,4.823,5284.0,299.4,2.227,0.809,-0.887,0.138,SP_Ace+CaT_DP_consensus,-0.889,0.046,-0.878,0.356,0.294,0.53,SP_Ace,modeled,True,5.0,0.56,check,True,True,secondary
88,273.456,-32.100,4048783069132858240,147931072,369256,True,True,16.133,15.0170,16.1440,15.3290,-4.063,0.053,-6.480,0.040,0.088,0.045,-7.232,3.305,31.700,good,False,1.328,2.979,2.234,5.213,5046.5,142.1,2.589,0.764,-0.68,0.106,SP_Ace+CaT_DP_consensus,-0.808,0.017,-0.55,0.151,0.166,0.459,SP_Ace,modeled,True,5.0,0.466,check,True,False,secondary
92,273.477,-32.312,4045773778953119616,147985029,379433,True,True,16.320,15.3500,16.3550,15.6730,-3.717,0.111,-6.890,0.080,-0.050,0.103,115.886,3.320,28.800,good,False,1.164,2.448,2.077,4.526,4824.5,118.7,2.768,0.469,-0.886,0.108,SP_Ace+CaT_DP_consensus,-1.052,0.025,-0.706,0.156,0.071,0.324,SP_Ace,modeled,True,5.0,1.031,check,False,False,secondary
94,273.448,-32.245,4045777867762204288,147908587,364996,True,True,16.147,15.2170,16.1850,15.4630,-4.087,0.066,-7.353,0.048,0.128,0.067,27.048,3.235,29.800,good,False,1.306,2.797,2.408,5.206,5062.0,160.5,2.84,0.354,-0.636,0.094,SP_Ace+CaT_DP_consensus,-0.801,0.012,-0.53,0.096,0.0,0.177,SP_Ace,modeled,True,5.0,0.531,check,False,False,secondary
95,273.379,-32.142,4048781114984082560,147719368,327526,True,True,13.938,12.6250,16.3990,14.7060,-3.576,0.065,-6.369,0.051,0.124,0.056,36.836,5.700,38.100,good,False,0.766,1.155,1.427,2.582,,,,,-2.41,0.15,CaT_DP_only,-2.41,0.126,,,,,none,failed,False,,,no_SED,False,False,RV_CaT_only
96,273.390,-32.018,4048787226661555968,147749821,333472,True,True,17.163,15.9540,16.6490,16.1070,-3.299,0.086,-6.778,0.065,0.502,0.073,73.198,3.858,22.700,good,False,0.742,2.156,1.423,3.578,5930.5,336.7,4.212,0.835,-0.6,0.283,SP_Ace_primary_CaT_DP_disagrees,-1.264,0.133,-0.6,0.283,0.048,0.436,SP_Ace,modeled,True,5.0,0.599,check,False,False,secondary
97,273.381,-32.225,4048780221630708736,147723988,328389,True,True,15.907,14.8780,16.0460,15.1920,-4.589,0.058,-8.681,0.043,0.052,0.050,-175.362,3.990,33.200,good,False,1.218,2.538,2.223,4.761,4566.5,103.0,2.551,0.393,-1.084,0.094,SP_Ace+CaT_DP_consensus,-1.045,0.011,-1.11,0.093,0.386,0.204,SP_Ace,modeled,True,6.0,0.615,check,True,True,secondary
98,273.415,-32.081,4048783520165843328,147819456,347595,True,True,15.687,14.6130,15.6990,14.9100,-4.521,0.045,-7.596,0.033,0.173,0.036,208.378,3.430,43.300,good,False,1.083,2.596,2.024,4.620,4985.0,100.0,2.616,0.371,-0.714,0.125,SP_Ace_primary_CaT_DP_disagrees,-1.163,0.045,-0.714,0.125,0.0,0.287,SP_Ace,modeled,True,5.0,0.726,check,False,False,secondary
101,273.407,-32.016,4048787329772566272,147795467,342673,True,True,16.935,15.6320,16.5960,15.8880,-3.301,0.077,-6.874,0.057,0.160,0.070,-4.310,3.308,19.300,usable,False,0.749,2.875,2.055,4.930,5605.5,100.0,4.212,1.041,-0.815,0.142,SP_Ace+CaT_DP_consensus,-0.842,0.131,-0.595,0.436,0.102,0.351,SP_Ace,modeled,True,5.0,1.863,check,True,False,secondary
104,273.372,-32.324,4045770617856127744,147699305,323649,True,True,16.483,15.4640,16.3890,15.6970,-3.926,0.080,-5.901,0.057,0.083,0.072,33.026,3.265,28.600,good,False,1.287,2.568,1.999,4.567,5162.5,167.2,3.735,0.395,-0.526,0.178,SP_Ace_primary_CaT_DP_disagrees,-0.961,0.007,-0.526,0.178,0.088,0.357,SP_Ace,modeled,True,5.0,0.579,check,False,False,secondary
106,273.346,-32.324,4045771334983937536,147629826,309993,True,True,14.315,13.0360,15.1240,13.9630,-3.807,0.034,-8.354,0.024,0.053,0.029,-57.178,3.343,49.000,good,True,1.539,3.069,2.677,5.746,3869.5,100.0,1.539,0.449,-0.865,0.094,SP_Ace+CaT_DP_consensus,-1.033,0.071,-0.757,0.106,0.331,0.29,SP_Ace,modeled,True,5.0,0.813,check,True,True,secondary
107,273.370,-32.269,4045777592884406272,147693796,322568,True,True,16.083,14.9750,15.8650,15.1890,-4.550,0.061,-6.025,0.043,0.263,0.054,13.186,3.271,31.000,good,False,1.294,2.744,2.020,4.765,4779.5,100.0,3.253,0.239,-0.35,0.12,SP_Ace_primary_CaT_DP_disagrees,-0.973,0.009,-0.35,0.064,-0.038,0.214,SP_Ace,modeled,True,6.0,0.241,consistent,False,False,primary
108,273.345,-32.269,4045777627244193792,147626982,309420,True,True,16.544,15.3920,16.3670,15.6540,-4.404,0.079,-7.918,0.057,-0.053,0.065,-79.660,3.643,25.700,good,False,1.166,2.498,1.943,4.441,5040.0,146.4,2.355,0.398,-0.956,0.129,SP_Ace+CaT_DP_consensus,-1.027,0.024,-0.759,0.251,0.286,0.448,SP_Ace,modeled,True,5.0,0.181,consistent,True,True,secondary
109,273.340,-32.122,4048782111416619008,147612854,306660,True,True,16.083,14.9540,16.0190,15.2640,-4.719,0.065,-6.621,0.049,0.060,0.056,51.604,3.264,31.800,good,False,1.333,2.720,2.283,5.003,4933.0,138.2,2.616,0.519,-0.906,0.098,SP_Ace+CaT_DP_consensus,-0.897,0.019,-0.913,0.129,0.512,0.278,SP_Ace,modeled,True,6.0,0.164,check,True,True,secondary
110,273.312,-32.152,4048781591663872512,147535193,291598,True,True,17.139,16.0480,17.1810,16.3830,-4.576,0.100,-7.945,0.076,0.200,0.080,80.361,3.662,20.600,good,False,1.182,2.504,1.642,4.146,4538.0,182.2,3.132,0.596,-1.058,0.117,SP_Ace+CaT_DP_consensus,-0.991,0.02,-1.163,0.188,0.078,0.384,SP_Ace,modeled,True,6.0,0.87,consistent,False,False,primary
111,273.358,-32.002,4048787535930734464,147660915,316101,True,True,16.223,15.0090,16.0680,15.2650,-3.387,0.056,-6.968,0.043,0.151,0.049,-165.507,3.450,33.700,good,False,1.255,2.660,2.171,4.831,5062.0,136.5,3.213,0.304,-0.504,0.12,SP_Ace_primary_CaT_DP_disagrees,-0.943,0.001,-0.504,0.119,0.085,0.252,SP_Ace,modeled,True,5.0,0.309,check,False,False,secondary
112,273.352,-32.195,4048780496508726784,147645671,313141,True,True,13.569,12.4130,14.4420,13.2030,-4.125,0.024,-6.818,0.018,0.104,0.021,231.928,4.019,59.800,good,False,1.591,3.279,2.823,6.102,3827.0,100.0,2.045,0.579,-0.598,0.238,SP_Ace_primary_CaT_DP_disagrees,-1.051,0.085,-0.598,0.238,0.186,0.31,SP_Ace,modeled,True,5.0,0.186,consistent,True,False,primary
113,273.349,-32.148,4048781729104699520,147636745,311388,True,True,17.166,16.0450,17.1190,16.3760,-4.667,0.109,-6.695,0.085,0.300,0.098,-18.886,3.983,22.200,good,False,1.212,2.474,1.886,4.360,5408.0,380.1,3.67,0.827,-0.839,0.124,SP_Ace+CaT_DP_consensus,-0.918,0.012,-0.67,0.219,0.0,0.937,SP_Ace,modeled,True,5.0,1.713,check,False,False,RV_CaT_only
115,273.264,-32.050,4048786298948505216,147403224,265520,True,True,14.184,12.7850,15.1030,13.8700,-4.052,0.027,-6.992,0.020,0.092,0.025,138.046,3.799,41.800,good,False,1.622,3.141,2.146,5.287,3829.0,187.8,2.143,0.425,-0.164,0.29,SP_Ace_primary_CaT_DP_disagrees,-1.226,0.093,-0.164,0.29,0.076,0.322,SP_Ace,modeled,True,5.0,1.11,consistent,False,False,secondary
116,273.295,-31.962,4048788257453922304,147488604,282378,True,True,15.669,14.4530,15.6750,14.8170,-4.077,0.100,-6.530,0.072,0.222,0.098,73.043,4.463,43.800,good,False,1.281,2.286,1.920,4.206,4492.0,100.0,3.302,0.4,-0.627,0.12,SP_Ace_primary_CaT_DP_disagrees,-1.304,0.005,-0.627,0.102,0.237,0.239,SP_Ace,modeled,True,6.0,0.852,check,True,True,secondary
117,273.329,-32.081,4048785169433442944,147581544,300623,True,True,16.340,15.2820,16.3400,15.5770,-4.730,0.059,-7.832,0.044,0.091,0.051,-185.499,3.632,32.000,good,False,1.223,2.548,2.200,4.748,5365.0,134.5,3.592,0.295,-0.31,0.209,SP_Ace_primary_CaT_DP_disagrees,-0.948,0.009,-0.31,0.209,-0.051,0.303,SP_Ace,modeled,False,5.0,4.86,check,False,False,secondary
118,273.270,-32.106,4048785272512723584,147420338,268820,True,True,14.910,13.6130,15.1840,15.9350,-3.372,0.036,-5.875,0.026,0.161,0.030,-156.591,3.304,53.400,good,False,1.245,2.934,2.305,5.239,4364.0,134.5,2.665,0.235,-0.949,0.094,SP_Ace+CaT_DP_consensus,-1.129,0.004,-0.834,0.052,0.271,0.143,SP_Ace,modeled,False,5.0,4.757,check,True,True,secondary
119,273.260,-32.217,4048775303831423360,147394381,263844,True,True,15.382,14.1250,15.4360,14.5120,-4.726,0.043,-6.116,0.032,0.120,0.035,135.489,3.600,37.000,good,False,1.495,3.159,2.635,5.794,4326.5,100.0,2.381,0.3,-0.61,0.094,SP_Ace+CaT_DP_consensus,-0.749,0.06,-0.522,0.11,0.085,0.229,SP_Ace,modeled,True,6.0,0.193,check,False,False,secondary
120,273.276,-32.140,4048784585317860352,147435894,271827,True,True,16.053,14.8690,15.8140,15.1720,-3.364,0.052,-7.916,0.039,0.176,0.048,138.003,3.314,32.600,good,False,1.032,2.394,1.801,4.195,5277.0,118.5,3.418,0.414,-0.67,0.205,SP_Ace_primary_CaT_DP_disagrees,-1.254,0.058,-0.67,0.205,0.129,0.544,SP_Ace,modeled,True,5.0,0.135,check,True,False,secondary
124,273.323,-32.028,4048787127893431552,147564813,297361,True,True,17.023,15.8730,16.9640,16.1890,-4.405,0.081,-6.756,0.063,-0.005,0.079,13.209,3.999,22.800,good,False,1.343,3.039,2.284,5.322,5089.0,193.0,2.455,0.564,-0.584,0.133,SP_Ace+CaT_DP_consensus,-0.577,0.021,-0.61,0.285,-0.046,0.46,SP_Ace,modeled,True,6.0,0.404,check,False,False,secondary
126,273.201,-32.191,4048778503642720512,147232274,234759,True,True,16.477,15.2210,16.2560,15.5410,-3.681,0.065,-7.743,0.048,0.053,0.058,139.097,3.286,29.200,good,False,1.087,2.549,2.317,4.866,4950.5,157.3,3.27,0.304,-0.403,0.148,SP_Ace_primary_CaT_DP_disagrees,-0.908,0.044,-0.403,0.148,0.058,0.255,SP_Ace,modeled,True,6.0,1.696,check,False,False,secondary
127,273.311,-32.016,4048787883852974720,147532761,291142,True,True,17.270,16.2070,16.9780,16.3650,-4.440,0.191,-6.665,0.147,0.632,0.180,120.752,4.794,16.600,usable,False,0.922,2.021,1.880,3.901,5312.5,333.4,3.066,0.732,-0.485,0.349,SP_Ace_primary_CaT_DP_disagrees,-1.093,0.087,-0.485,0.349,0.028,0.71,SP_Ace,modeled,True,6.0,0.513,check,False,False,secondary
128,273.238,-32.105,4048784928915410048,147334573,253060,True,True,16.009,14.8570,15.9410,15.2080,-3.848,0.054,-7.646,0.041,0.068,0.054,-72.577,4.033,34.700,good,False,0.777,2.149,1.910,4.059,5097.5,130.1,2.29,0.573,-1.0,0.163,SP_Ace_primary_CaT_DP_disagrees,-1.36,0.124,-1.0,0.163,0.227,0.406,SP_Ace,modeled,True,6.0,0.55,check,True,True,secondary
134,273.188,-32.130,4048779740593574272,147195488,228087,True,True,16.521,15.4210,16.6220,15.7890,-4.241,0.118,-7.632,0.094,0.133,0.107,25.051,3.245,17.200,usable,False,1.493,2.742,2.312,5.053,5038.5,164.3,2.683,0.549,-0.738,0.131,SP_Ace+CaT_DP_consensus,-0.765,0.06,-0.655,0.266,0.369,0.449,SP_Ace,modeled,True,5.0,0.501,check,True,True,secondary
135,273.224,-32.102,4048785684829695872,147296905,246380,True,True,16.242,15.1160,16.1250,15.4530,-4.631,0.055,-8.593,0.043,0.064,0.053,-298.188,3.512,17.400,usable,False,1.053,2.680,2.210,4.890,4887.0,221.9,2.797,0.605,-0.943,0.118,SP_Ace+CaT_DP_consensus,-0.956,0.053,-0.923,0.19,0.245,0.629,SP_Ace,modeled,True,5.0,0.222,check,True,True,secondary
136,273.099,-32.219,4048777541570282624,146942027,181982,True,True,16.136,15.1190,16.0790,15.3490,-3.912,0.058,-6.289,0.043,0.045,0.064,38.639,3.364,17.300,usable,False,1.474,2.716,2.218,4.934,4818.0,127.7,3.543,0.485,-0.784,0.094,SP_Ace+CaT_DP_consensus,-0.873,0.055,-0.727,0.113,0.276,0.202,SP_Ace,modeled,True,6.0,0.46,check,True,True,secondary
138,273.271,-32.002,4048788090011550848,147422880,269320,True,True,15.776,14.5400,15.7460,14.8720,-4.999,0.047,-6.095,0.037,0.094,0.041,18.813,3.301,18.100,usable,False,1.481,3.051,2.336,5.387,4403.0,100.0,2.53,0.318,-0.734,0.094,SP_Ace+CaT_DP_consensus,-0.811,0.057,-0.685,0.076,0.222,0.201,SP_Ace,modeled,True,5.0,0.289,check,True,True,secondary
143,273.209,-32.035,4048798191777927040,147255742,238935,True,True,17.393,16.2260,17.1410,16.4710,-4.577,0.125,-7.789,0.095,-0.036,0.128,108.063,3.809,15.100,usable,False,1.182,2.645,1.569,4.215,5573.5,313.8,5.041,1.251,-0.465,0.535,SP_Ace_primary_CaT_DP_disagrees,-0.923,0.02,-0.465,0.535,-0.042,0.793,SP_Ace,failed,False,,,no_SED,False,False,RV_CaT_only
144,273.218,-32.011,4048798397894903424,147280224,243367,True,True,16.834,15.7510,16.8480,16.0360,-4.552,0.093,-6.636,0.070,-0.124,0.092,118.363,3.323,18.800,usable,False,1.041,2.240,2.034,4.274,5266.0,171.6,3.921,0.419,-0.56,0.225,SP_Ace_primary_CaT_DP_disagrees,-1.041,0.056,-0.56,0.225,0.071,0.331,SP_Ace,modeled,True,5.0,0.41,check,False,False,secondary
145,273.237,-32.026,4048786578183085440,147331475,252524,True,True,15.720,14.5520,15.4960,14.7990,-4.364,0.047,-7.244,0.035,0.169,0.047,-33.977,3.343,19.600,usable,True,1.096,2.554,2.064,4.618,4970.5,218.8,3.143,0.566,-0.793,0.134,SP_Ace_primary_CaT_DP_disagrees,-1.16,0.042,-0.793,0.134,0.435,0.221,SP_Ace,modeled,True,5.0,0.419,check,True,True,secondary
147,273.070,-32.195,4048777782088656000,113858103,95430,True,True,16.051,14.8530,15.9850,15.1590,-5.086,0.056,-6.805,0.043,0.060,0.057,14.129,3.206,20.700,good,False,1.053,2.859,2.313,5.171,4384.5,162.1,2.035,0.467,-1.047,0.105,SP_Ace+CaT_DP_consensus,-0.902,0.053,-1.187,0.147,0.312,0.257,SP_Ace,modeled,True,6.0,0.225,consistent,True,True,primary
148,273.190,-32.014,4048798466655960192,147201933,229210,True,True,16.180,15.1260,16.1580,15.4070,-3.943,0.054,-8.096,0.040,0.043,0.053,107.867,3.605,18.700,usable,False,1.001,2.660,2.383,5.043,4866.5,159.3,2.992,0.425,-0.766,0.107,SP_Ace+CaT_DP_consensus,-0.915,0.066,-0.613,0.152,0.128,0.243,SP_Ace,modeled,True,6.0,0.403,check,True,False,secondary
151,273.060,-32.103,4048792281900872704,113830721,91078,True,True,15.895,14.8190,15.7860,15.0480,-3.429,0.049,-6.403,0.038,0.158,0.052,110.038,3.657,21.600,good,False,1.206,3.021,2.521,5.542,4689.0,106.0,2.75,0.356,-0.632,0.094,SP_Ace+CaT_DP_consensus,-0.761,0.014,-0.55,0.097,0.028,0.263,SP_Ace,modeled,True,6.0,0.676,check,False,False,secondary
152,273.015,-32.124,4048790731384132608,113701351,69254,True,True,15.656,14.7390,15.9070,15.0910,-4.143,0.051,-6.417,0.038,0.126,0.049,-158.989,3.211,21.400,good,False,1.155,2.629,1.981,4.610,5148.5,228.0,3.097,0.493,-0.56,0.273,SP_Ace_primary_CaT_DP_disagrees,-1.161,0.027,-0.56,0.273,-0.016,0.345,SP_Ace,modeled,True,5.0,1.432,check,False,False,secondary
153,273.139,-32.080,4048791835224065792,147057316,202560,True,True,16.067,14.9260,16.2190,15.2600,-4.868,0.065,-7.219,0.047,-0.061,0.063,-30.612,4.013,17.500,usable,True,1.475,2.686,2.076,4.762,4436.5,137.6,2.832,0.613,-0.839,0.104,SP_Ace+CaT_DP_consensus,-0.974,0.055,-0.713,0.144,0.18,0.313,SP_Ace,modeled,True,5.0,1.166,check,True,False,secondary
156,273.001,-32.111,4048790941871295104,113660380,62546,True,True,16.000,15.1310,16.1430,15.3940,-3.821,0.067,-7.076,0.051,0.053,0.069,-160.678,3.918,15.400,usable,False,1.064,2.535,2.165,4.700,5003.5,192.1,2.746,0.584,-0.509,0.216,SP_Ace_primary_CaT_DP_disagrees,-1.064,0.05,-0.509,0.216,0.224,0.295,SP_Ace,modeled,True,6.0,0.273,check,True,True,secondary
158,273.300,-31.887,4048800906198465408,147503521,285364,True,True,17.091,16.0610,17.1680,16.3530,-4.218,0.096,-6.782,0.071,-0.121,0.090,21.173,4.202,15.400,usable,False,1.147,4.087,1.970,6.057,4345.5,145.8,2.566,0.623,-0.89,0.122,SP_Ace_primary_CaT_DP_disagrees,-0.321,0.029,-0.89,0.122,0.448,0.306,SP_Ace,modeled,True,5.0,0.389,consistent,True,True,secondary
163,273.220,-31.901,4048801382874157696,147285384,244281,True,True,16.424,15.3970,16.3290,15.6410,-4.920,0.062,-7.100,0.046,0.161,0.060,-207.210,6.116,19.800,usable,False,0.577,1.391,1.686,3.077,4968.5,534.3,3.1,1.218,-0.945,0.512,SP_Ace_primary_CaT_DP_disagrees,-1.642,0.175,-0.945,0.512,0.563,0.312,SP_Ace,modeled,True,5.0,0.386,check,True,True,RV_CaT_only
164,273.099,-31.985,4048799119491376896,146942445,182067,True,True,16.977,15.9140,16.9870,16.1620,-3.978,0.093,-6.440,0.070,0.113,0.087,104.973,6.111,15.300,usable,False,1.174,2.286,2.202,4.488,4873.5,238.6,1.853,1.252,-1.449,0.441,SP_Ace_primary_CaT_DP_disagrees,-0.913,0.022,-1.449,0.441,0.414,0.455,SP_Ace,modeled,True,6.0,0.511,check,False,False,secondary
166,273.002,-31.990,4048796370711215488,113661763,62759,True,True,15.759,14.8270,15.8690,15.0620,-3.392,0.086,-6.831,0.062,0.026,0.084,-133.605,5.277,15.700,usable,False,1.083,3.563,2.239,5.802,4450.5,118.4,2.57,0.431,-0.643,0.094,SP_Ace+CaT_DP_consensus,-0.735,0.045,-0.584,0.11,0.125,0.292,SP_Ace,modeled,True,6.0,1.542,check,True,False,secondary
167,273.165,-31.943,4048799699249976192,147130722,216060,True,True,16.254,15.1510,16.1230,15.4110,-3.784,0.060,-8.808,0.046,0.114,0.055,187.400,8.496,16.500,usable,False,0.533,3.353,2.074,5.427,,,,,-0.841,0.186,CaT_DP_only,-0.841,0.186,,,,,none,failed,False,,,no_SED,False,False,RV_CaT_only
168,272.981,-32.011,4048795954064047104,113604166,53778,True,True,16.315,15.4870,16.4430,15.7130,-4.884,0.060,-7.669,0.045,0.119,0.060,-3.435,3.219,17.100,usable,False,1.513,2.718,2.318,5.036,5038.0,194.8,3.451,0.503,-0.425,0.311,SP_Ace_primary_CaT_DP_disagrees,-0.781,0.065,-0.425,0.311,-0.033,0.506,SP_Ace,modeled,True,5.0,0.411,consistent,False,False,secondary
169,272.912,-32.028,4048795339918711808,113401572,24409,True,True,13.775,12.8330,14.5270,13.4050,-3.341,0.031,-7.697,0.023,0.083,0.026,161.585,3.527,28.900,good,False,1.333,3.494,2.655,6.149,3934.5,100.0,1.976,0.685,-0.952,0.12,SP_Ace+CaT_DP_consensus,-1.015,0.019,-0.841,0.199,0.302,0.265,SP_Ace,modeled,True,6.0,1.339,consistent,True,True,primary
171,272.880,-32.029,4048795266840323072,113309386,13278,True,True,15.727,14.9580,15.9800,15.2040,-3.177,0.055,-6.398,0.042,0.107,0.047,129.526,3.905,19.700,usable,False,1.109,2.806,2.251,5.056,5006.5,142.5,2.678,0.497,-0.255,0.179,SP_Ace_primary_CaT_DP_disagrees,-0.977,0.039,-0.255,0.179,-0.103,0.428,SP_Ace,modeled,True,6.0,0.474,check,False,False,secondary
174,273.130,-31.938,4048802619824636672,147031670,197965,True,True,15.815,14.7560,15.8340,15.0480,-3.275,0.050,-8.822,0.037,0.107,0.046,-103.395,3.951,21.200,good,False,0.747,2.869,2.205,5.074,4894.5,299.3,2.346,0.578,-0.979,0.129,SP_Ace+CaT_DP_consensus,-1.035,0.131,-0.821,0.252,0.292,0.377,SP_Ace,modeled,True,6.0,0.626,check,True,True,secondary
175,272.909,-31.993,4048843821524249600,113391770,23095,True,True,15.596,14.8170,15.8390,15.0770,-3.388,0.047,-7.332,0.036,0.095,0.042,146.571,4.757,21.400,good,False,1.028,2.705,2.115,4.819,4703.0,100.0,2.999,0.305,-0.466,0.12,SP_Ace_primary_CaT_DP_disagrees,-1.11,0.059,-0.466,0.113,0.199,0.196,SP_Ace,modeled,True,5.0,0.385,check,False,False,secondary
176,272.863,-31.997,4048842374041756160,113258326,8026,True,True,13.552,12.6210,14.6230,13.3850,-4.117,0.027,-7.419,0.021,0.034,0.023,-47.521,4.232,23.800,good,True,1.527,3.212,2.754,5.966,3817.0,100.0,1.745,0.388,-0.705,0.12,SP_Ace_primary_CaT_DP_disagrees,-1.107,0.068,-0.705,0.092,0.178,0.351,SP_Ace,modeled,True,5.0,1.783,check,True,False,secondary
177,273.174,-31.823,4048805132446575488,147155798,220883,True,True,16.898,15.8290,16.5910,16.0300,-4.084,0.096,-6.954,0.070,0.213,0.086,-87.623,4.294,20.900,good,False,0.494,3.328,1.858,5.186,,,,,-0.786,0.196,CaT_DP_only,-0.786,0.196,,,,,none,failed,False,,,no_SED,False,False,RV_CaT_only
178,272.901,-31.969,4048843924603640448,113369476,20215,True,True,15.319,14.5100,15.6550,14.8090,-3.354,0.047,-6.635,0.040,0.148,0.047,2.706,3.478,23.200,good,False,1.278,2.703,2.130,4.833,4468.5,142.1,2.416,0.395,-1.059,0.097,SP_Ace+CaT_DP_consensus,-1.124,0.005,-1.013,0.127,0.234,0.28,SP_Ace,modeled,True,6.0,0.749,check,True,True,secondary
183,272.966,-31.924,4048844504345757056,113561108,47034,True,True,15.748,15.0110,16.1780,15.2920,-5.117,0.050,-6.634,0.038,0.143,0.044,-37.561,5.268,15.100,usable,True,1.627,2.948,2.488,5.436,4393.5,113.0,2.555,0.402,-0.719,0.094,SP_Ace+CaT_DP_consensus,-0.747,0.094,-0.7,0.088,0.12,0.297,SP_Ace,modeled,True,6.0,2.049,consistent,True,False,secondary
184,272.851,-31.933,4048844989755989120,113223128,4937,True,True,14.236,13.2780,15.1360,13.9150,-4.731,0.035,-7.671,0.024,0.047,0.028,-15.228,3.808,21.900,good,False,1.592,3.227,2.653,5.880,3829.0,100.0,2.147,0.29,-0.589,0.12,SP_Ace_primary_CaT_DP_disagrees,-0.968,0.085,-0.589,0.109,0.18,0.277,SP_Ace,modeled,True,6.0,0.6,check,True,False,secondary
185,272.993,-31.878,4048850517300089344,113637134,58874,True,True,16.294,15.4000,16.3730,15.6970,-3.144,0.064,-7.670,0.047,0.085,0.055,161.518,3.341,18.500,usable,False,0.818,1.923,1.883,3.806,5656.5,381.1,4.007,1.011,-0.565,0.275,SP_Ace_primary_CaT_DP_disagrees,-1.365,0.113,-0.565,0.275,0.359,0.356,SP_Ace,modeled,False,5.0,2.742,check,True,True,secondary
