fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,photometry_ok,gaia_ok,phot_g_mean_mag,i0,g0,r0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeH_avg_SP,FeH_stddex_SP,aFe_adopted,e_aFe_adopted,aFe_source,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_agreement,chem_window_adopted,high_alpha_window,table_use_flag
17,273.853,-31.939,4045879465078824064,148964098,549424,True,True,15.505,14.4970,15.6380,14.8420,-3.459,0.045,-6.920,0.033,0.027,0.040,252.860,3.259,32.400,good,False,1.462,3.089,2.665,5.754,4505.0,162.3,2.606,0.526,-0.759,0.13,SP_Ace+CaT_DP_consensus,-0.73,0.052,-0.848,0.263,0.403,0.201,SP_Ace,modeled,True,5.0,0.426,consistent,True,True,secondary
19,273.512,-31.871,4048883708806719872,148076970,396717,True,True,16.540,15.3560,16.2880,15.6070,-4.175,0.066,-7.402,0.049,0.103,0.056,-48.728,3.255,29.100,good,True,1.168,2.706,2.029,4.735,5029.0,191.6,2.628,0.813,-0.902,0.138,SP_Ace+CaT_DP_consensus,-0.916,0.024,-0.817,0.361,0.142,0.917,SP_Ace,modeled,True,6.0,0.365,consistent,True,False,RV_CaT_only
20,273.663,-31.902,4048879796198031488,148474739,471477,True,True,16.909,15.6430,16.7300,15.9660,-3.493,0.084,-7.766,0.062,0.143,0.072,-85.536,3.805,24.100,good,False,1.398,3.070,2.641,5.711,5101.5,419.5,3.508,1.371,-0.436,0.145,SP_Ace+CaT_DP_consensus,-0.452,0.035,-0.198,0.577,0.437,0.562,SP_Ace,modeled,True,6.0,0.167,check,False,False,RV_CaT_only
21,273.730,-31.905,4045883244652619904,148651053,503934,True,True,16.881,15.5350,16.6080,15.8420,-3.833,0.122,-6.852,0.097,0.087,0.106,38.869,3.616,24.400,good,False,1.169,2.577,1.994,4.571,5269.0,168.8,3.526,0.408,-0.415,0.277,SP_Ace_primary_CaT_DP_disagrees,-0.935,0.023,-0.415,0.277,0.088,0.765,SP_Ace,modeled,True,5.0,0.438,check,False,False,secondary
22,273.379,-31.974,4048787712010611840,147717824,327247,True,True,16.914,15.6350,16.5910,15.9010,-3.809,0.078,-6.852,0.060,0.151,0.073,-48.052,3.963,23.100,good,True,1.431,2.971,2.159,5.130,5059.0,172.0,3.556,0.42,-0.653,0.128,SP_Ace+CaT_DP_consensus,-0.651,0.044,-0.66,0.246,0.156,0.34,SP_Ace,modeled,True,5.0,0.519,check,True,False,secondary
23,273.765,-31.959,4045882046477355264,148739678,518604,True,True,16.251,14.9800,15.9920,15.2690,-3.373,0.070,-7.586,0.051,0.285,0.061,210.212,3.548,28.600,good,False,1.392,2.850,2.388,5.238,4759.0,134.8,2.718,0.403,-0.584,0.099,SP_Ace+CaT_DP_consensus,-0.775,0.034,-0.434,0.133,0.218,0.228,SP_Ace,modeled,True,5.0,0.43,consistent,True,True,primary
24,273.647,-32.022,4045876342759202176,148434876,464124,True,True,17.241,15.8840,16.5780,16.0490,-4.563,0.106,-7.572,0.079,0.582,0.087,-5.985,3.308,17.500,usable,False,1.213,2.478,2.186,4.664,6141.0,100.0,3.85,0.2,-0.15,0.12,SP_Ace_primary_CaT_DP_disagrees,-0.779,0.012,-0.15,0.0,0.0,0.16,SP_Ace,modeled,True,5.0,0.498,check,False,False,secondary
25,273.637,-31.875,4048880822591399168,148408443,459186,True,True,16.693,15.3770,16.4540,15.7000,-3.244,0.081,-8.334,0.057,0.131,0.066,133.838,4.243,19.500,usable,False,1.286,3.568,2.458,6.026,5258.0,293.3,2.041,0.786,-0.393,0.135,SP_Ace+CaT_DP_consensus,-0.411,0.007,-0.317,0.309,-0.283,0.573,SP_Ace,modeled,True,5.0,0.11,check,False,False,secondary
28,273.857,-31.999,4045878606085163648,148972608,550481,True,True,13.907,12.9060,14.6010,13.4820,-4.865,0.028,-6.264,0.020,0.146,0.025,25.293,3.233,62.800,good,False,1.748,3.528,2.938,6.466,3932.0,100.0,1.757,0.369,-0.758,0.109,SP_Ace+CaT_DP_consensus,-0.801,0.125,-0.71,0.157,0.215,0.256,SP_Ace,modeled,True,6.0,0.894,consistent,True,True,primary
29,273.894,-32.032,4045877575292900864,149065660,560826,True,True,15.593,14.7200,15.8180,14.9480,-3.484,0.042,-6.124,0.033,0.095,0.041,177.462,3.223,32.000,good,False,1.360,3.186,2.966,6.152,4604.5,100.0,2.534,0.438,-0.524,0.094,SP_Ace+CaT_DP_consensus,-0.576,0.026,-0.492,0.119,0.232,0.23,SP_Ace,modeled,True,6.0,0.75,consistent,True,True,primary
30,273.807,-31.960,4045881909037907584,148849004,535100,True,True,16.268,15.2400,16.2300,15.5200,-4.750,0.060,-7.204,0.046,0.139,0.061,69.130,3.442,27.000,good,False,1.376,3.018,2.537,5.555,5424.5,148.7,3.602,0.501,-0.17,0.18,SP_Ace_primary_CaT_DP_disagrees,-0.64,0.03,-0.17,0.18,-0.072,0.241,SP_Ace,modeled,False,5.0,3.324,check,False,False,secondary
31,273.902,-32.056,4045865755542818688,149084444,562702,True,True,15.952,15.0930,16.1350,15.3950,-4.747,0.050,-7.369,0.038,0.121,0.048,-50.588,4.039,32.300,good,True,1.312,2.790,2.467,5.256,4934.0,115.6,2.314,0.496,-0.745,0.114,SP_Ace+CaT_DP_consensus,-0.83,0.013,-0.63,0.174,0.367,0.416,SP_Ace,modeled,True,6.0,0.291,check,True,True,secondary
