time_from_present_myr,ra_deg,dec_deg,distance_kpc,galactocentric_radius_kpc,pm_ra_cosdec_masyr,pm_dec_masyr,radial_velocity_kms
-1000.0,270.1891525614845,-18.983851564203384,9.79205207274258,2.3387244719866285,-0.44674601010660286,-6.549563360732489,97.44661074109537
-999.7082282627016,270.3595559613771,-19.14893212308494,9.837651258767984,2.3630079507041124,-0.44866441030451815,-6.590112552884156,94.5629622698448
-999.4164565254032,270.528272489409,-19.318413349526384,9.882303893419571,2.387078884986366,-0.45226018722610917,-6.628447037846169,91.70277947391749
-999.1246847881048,270.69519565216484,-19.49206648631263,9.926010877116411,2.4109274887685346,-0.4576372919629977,-6.664597654729328,88.86749860390788
-998.8329130508064,270.86020766127757,-19.669666273986522,9.96877366764628,2.4345441995511017,-0.4649286489303584,-6.698575067348385,86.05816877052382
-998.5411413135079,271.02317675845046,-19.850989000858156,10.010594156337431,2.457919487004374,-0.47429996713585443,-6.730364558467733,83.27549722422404
-998.2493695762095,271.18395404698293,-20.035810265580857,10.051474550612243,2.481043641813865,-0.48596005102896656,-6.759921167801034,80.51971512806236
-997.957597838911,271.342369103414,-20.223902235685568,10.091417207024264,2.5039064818951706,-0.5001741972048964,-6.787163386829146,77.7905022770683
-997.6658261016127,271.4982248682114,-20.41503046385329,10.130424441375036,2.5264969972558315,-0.517269383750297,-6.811968565208418,75.08684092960985
-997.3740543643142,271.65129256284956,-20.60895082174324,10.168498302065753,2.5488028983568287,-0.5376215487116782,-6.834182025714507,72.40690349861384
-997.0822826270158,271.8013101174409,-20.805408241711685,10.205640317054302,2.5708100976803236,-0.5615502447354972,-6.853676684855504,69.74802050894131
-996.7905108897174,271.94800589340736,-21.00414884860118,10.241851297375034,2.59250230991782,-0.5888761663266197,-6.870597929975973,67.10720882891594
-996.498739152419,272.09113860733567,-21.20493993406451,10.2771313519673,2.613861285747141,-0.619146788235034,-6.885233372383167,64.48183505479079
-996.2069674151205,272.23050464047327,-21.407572765571594,10.311480004939934,2.634867389871733,-0.6519314027206887,-6.897848579884087,61.86964126109093
-995.9151956778221,272.3659341979003,-21.611859804874516,10.344896317280172,2.6555001302345054,-0.6868578989315985,-6.908670971602308,59.26881464013388
-995.6234239405237,272.49728664785084,-21.817631732082127,10.377378991194062,2.6757385805251235,-0.7236096979150933,-6.917894157397535,56.67789351949687
-995.3316522032253,272.624444880966,-22.02473426013681,10.408926467013089,2.6955616913918217,-0.7619322805450087,-6.925674214554674,54.09561548491721
-995.0398804659269,272.74731214160045,-22.233026255812668,10.439536967126529,2.714948514695007,-0.8015928518784414,-6.932158024035992,51.52094805683181
-994.7481087286285,272.8658087931843,-22.442378272338782,10.469208579198245,2.7338783872224903,-0.842415419733414,-6.9374634558827974,48.95311538795274
-994.4563369913301,272.97986836134277,-22.652670434288453,10.497939289744508,2.7523310346433374,-0.8842442561623591,-6.941695737889875,46.3913906719494
-994.1645652540317,273.089437170548,-22.86379227462403,10.525727033414254,2.7702867098452533,-0.9269285019139186,-6.944962748806932,43.83535501683289
-993.8727935167333,273.194472434203,-23.07564212355769,10.552569770648518,2.7877262952807333,-0.9703583982440469,-6.947353598764521,41.28475332528486
-993.5810217794349,273.29493847846373,-23.288125282409766,10.57846549540828,2.8046312938664886,-1.0144539815831095,-6.948940370059575,38.73928529612023
