fiberid	RVraw	RV	e_RV	S/N	CaT1	CaT2	CaT3	SumEW23
111	-152.154	-165.507	3.450	33.7	1.255	2.660	2.171	4.831
112	245.282	231.928	4.019	59.8	1.591	3.279	2.823	6.102
113	-5.532	-18.886	3.983	22.2	1.212	2.474	1.886	4.360
115	151.400	138.046	3.799	41.8	1.622	3.141	2.146	5.287
116	86.397	73.043	4.463	43.8	1.281	2.286	1.920	4.206
117	-172.146	-185.499	3.632	32.0	1.223	2.548	2.200	4.748
118	-143.237	-156.591	3.304	53.4	1.245	2.934	2.305	5.239
119	148.843	135.489	3.600	37.0	1.495	3.159	2.635	5.794
120	151.356	138.003	3.314	32.6	1.032	2.394	1.801	4.195
121	225.471	212.117	7.190	26.7	0.223	1.285	1.129	2.414
123	18.711	5.357	3.490	25.3	0.725	1.406	1.054	2.461
124	26.562	13.209	3.999	22.8	1.343	3.039	2.284	5.322
125	45.476	32.123	4.115	27.6	1.004	2.092	1.602	3.694
126	152.451	139.097	3.286	29.2	1.087	2.549	2.317	4.866
127	134.106	120.752	4.794	16.6	0.922	2.021	1.880	3.901
128	-59.224	-72.577	4.033	34.7	0.777	2.149	1.910	4.059
131	22.422	9.068	7.503	10.8	0.360	2.197	1.660	3.857
133	-75.262	-88.616	4.774	22.4	0.642	1.539	1.194	2.733
134	38.405	25.051	3.245	17.2	1.493	2.742	2.312	5.053
135	-284.835	-298.188	3.512	17.4	1.053	2.680	2.210	4.890
136	51.993	38.639	3.364	17.3	1.474	2.716	2.218	4.934
138	32.166	18.813	3.301	18.1	1.481	3.051	2.336	5.387
139	185.517	172.163	4.885	12.8	0.549	1.542	1.165	2.707
142	-203.941	-217.294	4.050	18.2	0.497	1.534	1.403	2.937
143	121.416	108.063	3.809	15.1	1.182	2.645	1.569	4.215
144	131.717	118.363	3.323	18.8	1.041	2.240	2.034	4.274
145	-20.623	-33.977	3.343	19.6	1.096	2.554	2.064	4.618
147	27.482	14.129	3.206	20.7	1.053	2.859	2.313	5.171
148	121.220	107.867	3.605	18.7	1.001	2.660	2.383	5.043
149	-29.344	-42.697	4.450	13.2	0.912	1.028	0.796	1.824
151	123.392	110.038	3.657	21.6	1.206	3.021	2.521	5.542
152	-145.636	-158.989	3.211	21.4	1.155	2.629	1.981	4.610
153	-17.259	-30.612	4.013	17.5	1.475	2.686	2.076	4.762
154	-22.221	-35.575	3.736	8.3	1.646	2.632	2.540	5.173
156	-147.324	-160.678	3.918	15.4	1.064	2.535	2.165	4.700
157	52.745	39.391	5.653	11.9	1.414	3.066	2.027	5.093
158	34.527	21.173	4.202	15.4	1.147	4.087	1.970	6.057
159	-66.800	-80.154	4.034	13.4	1.161	2.648	2.228	4.876
160	129.341	115.987	3.655	14.0	1.021	2.336	1.911	4.247
162	51.749	38.395	3.413	12.4	0.740	1.035	0.917	1.951
163	-193.857	-207.210	6.116	19.8	0.577	1.391	1.686	3.077
164	118.327	104.973	6.111	15.3	1.174	2.286	2.202	4.488
165	-152.559	-165.913	5.189	10.8	0.258	0.792	0.616	1.408
166	-120.251	-133.605	5.277	15.7	1.083	3.563	2.239	5.802
167	200.753	187.400	8.496	16.5	0.533	3.353	2.074	5.427
168	9.919	-3.435	3.219	17.1	1.513	2.718	2.318	5.036
169	174.939	161.585	3.527	28.9	1.333	3.494	2.655	6.149
170	22.001	8.647	6.755	14.2	2.010	2.789	1.884	4.674
171	142.880	129.526	3.905	19.7	1.109	2.806	2.251	5.056
172	129.786	116.432	6.203	14.1	0.801	2.269	1.680	3.949
173	46.482	33.128	4.411	14.3	0.989	1.821	1.485	3.306
174	-90.041	-103.395	3.951	21.2	0.747	2.869	2.205	5.074
175	159.924	146.571	4.757	21.4	1.028	2.705	2.115	4.819
176	-34.168	-47.521	4.232	23.8	1.527	3.212	2.754	5.966
177	-74.269	-87.623	4.294	20.9	0.494	3.328	1.858	5.186
178	16.060	2.706	3.478	23.2	1.278	2.703	2.130	4.833
179	55.948	42.594	4.016	14.8	1.341	2.781	1.917	4.698
180	-43.526	-56.880	4.693	13.3	0.525	1.956	1.303	3.259
181	22.319	8.966	4.728	14.9	1.625	2.701	2.153	4.854
182	25.485	12.131	6.838	13.6	2.363	1.922	1.426	3.348
183	-24.207	-37.561	5.268	15.1	1.627	2.948	2.488	5.436
184	-1.874	-15.228	3.808	21.9	1.592	3.227	2.653	5.880
185	174.871	161.518	3.341	18.5	0.818	1.923	1.883	3.806
186	-79.243	-92.597	4.623	16.7	0.966	2.707	2.135	4.842
187	110.543	97.189	3.538	16.1	1.402	2.917	2.275	5.191
188	178.554	165.201	3.666	13.8	1.143	2.722	2.456	5.178
189	41.023	27.669	3.264	13.6	1.341	2.860	2.226	5.086
191	94.238	80.884	3.328	14.1	1.778	2.608	1.945	4.553
192	80.913	67.559	3.391	4.0	0.657	0.879	1.075	1.954
193	-309.257	-322.611	3.243	16.7	1.116	2.523	2.043	4.566
194	-9.311	-22.665	4.108	13.3	1.390	3.886	2.881	6.766
195	-5.799	-19.153	5.146	17.8	1.162	3.286	2.094	5.381
196	-97.862	-111.215	3.308	21.8	1.439	3.271	2.677	5.948
197	37.248	23.895	3.393	17.1	1.346	2.702	2.001	4.703
198	-73.740	-87.094	5.041	17.0	0.950	2.582	1.888	4.470
199	71.082	57.728	3.267	15.1	1.590	3.069	2.231	5.300
201	-15.399	-28.753	3.962	18.9	1.474	2.697	2.017	4.714
202	202.871	189.517	3.779	13.5	0.102	0.207	1.027	1.235
203	114.359	101.005	3.905	15.4	1.226	2.481	1.995	4.477
204	67.005	53.651	3.531	19.6	1.409	2.820	2.087	4.908
205	-185.274	-198.627	3.524	11.6	0.478	1.383	1.225	2.608
206	126.895	113.541	3.943	17.1	1.408	2.986	2.584	5.570
207	139.958	126.604	3.748	14.7	1.364	2.887	2.042	4.929
208	188.440	175.086	3.811	16.6	0.937	3.151	2.179	5.330
209	205.914	192.561	5.282	16.6	0.745	2.907	2.103	5.010
210	-64.629	-77.983	4.968	15.5	0.955	2.387	2.311	4.697
211	3.087	-10.267	3.904	13.4	1.639	3.060	2.665	5.725
212	47.843	34.489	3.295	16.4	1.229	2.578	2.223	4.801
213	-121.834	-135.188	4.850	16.9	0.870	2.641	1.692	4.332
214	68.880	55.527	3.453	11.9	1.411	2.589	2.309	4.897
215	-31.864	-45.218	3.626	14.6	1.686	2.613	2.061	4.674
217	-0.485	-13.839	3.281	17.7	1.297	2.706	1.803	4.509
218	-15.685	-29.038	3.330	10.1	1.008	1.984	1.010	2.994
219	-10.504	-23.857	3.472	7.5	1.567	2.272	2.584	4.855
221	-43.720	-57.074	3.368	18.9	1.542	3.202	2.575	5.777
222	-33.915	-47.269	6.341	20.9	0.730	2.196	1.498	3.694
223	-0.555	-13.909	5.476	17.7	1.451	3.070	1.895	4.965
224	5.132	-8.222	3.289	22.1	1.631	3.047	2.149	5.196
225	130.585	117.231	3.256	14.1	1.112	2.673	2.395	5.068
226	12.878	-0.476	6.879	6.9	1.157	1.963	1.945	3.908
227	117.549	104.195	4.181	18.4	1.231	2.912	1.835	4.747
228	-198.431	-211.785	5.930	13.4	0.533	1.801	1.475	3.276
229	154.083	140.729	7.053	13.9	0.874	1.670	1.629	3.299
230	50.452	37.098	4.130	13.6	1.113	2.264	1.895	4.159
232	63.563	50.209	3.261	18.5	1.510	2.868	2.204	5.072
233	121.150	107.797	3.422	19.4	1.163	2.684	1.867	4.552
234	-57.571	-70.924	8.505	12.2	0.785	1.950	1.936	3.885
235	183.858	170.505	3.401	17.4	0.660	1.879	1.247	3.126
236	109.963	96.610	3.382	16.4	1.242	2.603	2.141	4.744
237	-21.979	-35.333	4.099	19.1	1.418	2.581	2.216	4.797
238	103.137	89.783	5.836	11.7	0.776	1.528	1.332	2.861
240	-53.354	-66.708	15.267	8.0	0.318	2.005	0.887	2.892
241	19.102	5.748	3.511	16.3	1.620	3.094	2.656	5.751
242	149.576	136.222	4.256	17.9	1.460	3.222	2.814	6.036
243	34.308	20.954	7.023	7.5	1.187	3.148	2.189	5.336
244	32.408	19.054	10.796	11.1	2.902	2.558	2.633	5.191
245	-42.129	-55.483	3.619	13.9	0.986	3.043	2.523	5.566
246	107.918	94.564	3.661	17.9	1.699	2.893	2.215	5.107
247	125.992	112.638	3.466	12.0	0.830	2.771	2.239	5.010
248	75.887	62.534	3.442	13.9	1.715	3.566	2.820	6.387
249	-20.935	-34.288	3.292	12.0	1.616	3.347	2.419	5.766
253	-54.494	-67.848	3.614	15.2	1.008	2.677	2.194	4.870
254	39.969	26.616	3.680	13.2	1.648	3.506	2.586	6.092
255	95.191	81.837	3.206	14.8	0.426	2.058	2.492	4.549
256	265.108	251.755	3.240	15.1	1.280	2.758	2.311	5.069
257	28.481	15.127	3.299	13.9	1.605	3.169	2.492	5.661
258	-45.382	-58.735	3.624	15.5	1.411	2.835	2.190	5.025
259	43.223	29.869	3.437	14.8	1.625	3.043	2.578	5.621
260	73.474	60.121	5.634	10.0	0.617	1.986	1.692	3.678
261	-30.134	-43.488	4.068	15.0	1.169	2.656	2.063	4.718
262	-6.659	-20.013	3.804	10.5	1.529	3.303	2.901	6.205
263	-60.521	-73.875	3.449	20.2	1.149	3.169	2.536	5.705
265	23.364	10.010	5.138	13.5	0.791	1.222	1.708	2.929
267	174.101	160.747	4.534	18.9	0.962	2.617	2.468	5.084
268	87.329	73.976	3.319	20.6	1.465	3.105	2.400	5.506
269	-43.316	-56.669	3.263	14.5	0.845	2.450	1.765	4.215
270	72.129	58.775	5.034	17.2	1.628	3.501	2.392	5.893
271	11.803	-1.551	6.063	12.0	0.283	1.604	1.910	3.514
272	-57.626	-70.980	4.236	13.4	1.148	2.419	2.213	4.632
273	-4.389	-17.743	3.248	19.4	1.441	2.963	2.286	5.249
274	100.981	87.627	3.293	20.4	1.413	2.817	2.310	5.127
275	-21.850	-35.203	3.862	15.9	1.479	3.003	2.404	5.408
276	-57.373	-70.727	4.529	12.2	0.645	2.024	1.532	3.557
277	-35.161	-48.515	4.158	9.7	1.230	1.971	2.015	3.986
278	-39.768 -53.122 4.429   11.6    0.279   1.1014  1.93    2.945
279	23.668	10.314	4.027	16.4	0.773	1.541	1.260	2.801
280	18.014	4.661	5.516	8.9	2.032	3.384	2.401	5.785
281	30.024	16.670	4.675	13.6	2.195	2.523	1.948	4.471
282	157.709	144.355	4.073	15.3	0.726	1.815	2.000	3.814
284	-12.336	-25.690	4.461	3.8	0.725	1.261	1.521	2.782
285	-16.871	-30.225	4.927	14.2	1.208	2.831	2.435	5.266
286	-69.592	-82.946	4.070	11.5	1.074	4.025	2.951	6.976
287	159.891	146.537	3.512	15.0	1.317	2.773	2.237	5.010
288	35.996	22.642	4.471	10.7	0.652	1.349	1.465	2.813
289	211.957	198.604	4.176	16.7	1.030	2.488	2.251	4.739
291	148.669	135.316	4.452	12.4	1.009	1.774	1.641	3.416
292	-44.019	-57.372	3.515	19.1	1.476	3.143	2.488	5.631
294	34.424	21.070	3.817	16.4	1.544	2.993	2.491	5.484
295	-12.431	-25.785	3.223	10.2	0.945	2.663	2.286	4.949
296	114.907	101.553	3.263	18.2	1.471	2.880	2.259	5.139
297	-110.587	-123.941	5.130	16.4	0.515	1.963	1.669	3.632
298	109.333	95.979	3.947	13.0	1.003	2.429	1.770	4.199
299	48.572	35.219	3.632	13.9	0.815	2.277	2.101	4.378
301	-2.299	-15.652	3.729	13.3	0.896	2.372	2.190	4.562
302	36.788	23.434	4.268	11.7	1.861	3.967	2.950	6.917
303	75.660	62.306	4.358	18.1	1.124	1.944	2.448	4.392
304	60.054	46.701	3.307	15.4	0.890	2.102	1.784	3.886
305	78.421	65.068	3.364	19.6	1.314	2.787	2.425	5.212
306	57.099	43.746	4.495	19.2	1.223	2.274	2.244	4.518
308	-80.482	-93.836	3.816	19.5	1.396	2.614	2.103	4.717
309	-10.740	-24.094	3.498	13.2	1.576	3.333	2.606	5.940
310	-20.896	-34.250	3.460	15.4	1.409	3.121	2.311	5.432
311	-300.919	-314.272	4.024	14.7	0.365	1.144	1.116	2.260
312	-34.944	-48.298	3.244	26.4	0.988	2.423	1.791	4.214
313	-68.372	-81.726	4.415	16.7	1.339	2.802	2.304	5.106
314	154.445	141.092	3.209	16.9	0.639	1.454	1.497	2.951
315	150.900	137.546	3.216	16.6	1.166	2.355	2.369	4.724
317	146.055	132.701	3.273	16.3	0.873	2.175	1.870	4.045
318	145.069	131.715	3.278	14.6	1.259	3.172	2.522	5.694
319	79.075	65.721	4.005	15.6	0.422	2.214	1.583	3.796
321	-27.954	-41.307	3.697	18.9	1.524	2.958	2.447	5.405
322	115.086	101.733	3.362	18.6	1.594	3.125	2.677	5.801
323	-101.313	-114.666	3.993	18.1	1.088	3.017	2.028	5.045
324	53.638	40.284	3.486	18.7	1.221	2.382	1.787	4.168
325	-22.585	-35.939	3.875	13.3	1.410	2.721	1.973	4.695
326	38.701	25.348	3.384	4.1	0.597	0.800	1.065	1.865
327	-15.386	-28.740	3.478	14.5	1.287	2.588	2.235	4.823
328	123.886	110.532	3.339	22.4	1.543	3.098	2.585	5.683
330	-24.378	-37.732	3.775	20.9	1.767	3.645	3.347	6.992
331	143.139	129.786	4.087	7.2	1.460	2.335	2.523	4.858
332	37.982	24.629	5.487	11.9	3.556	2.167	2.481	4.648
333	-28.525	-41.878	3.941	14.4	1.441	3.174	2.356	5.531
334	29.372	16.019	3.277	22.3	1.156	2.707	1.916	4.623
335	79.689	66.335	3.803	10.6	1.622	3.587	2.977	6.563
336	-36.672	-50.025	3.607	13.6	1.079	2.502	1.778	4.280
337	-64.378	-77.732	3.926	15.5	1.563	3.104	2.607	5.711
338	139.857	126.504	3.651	17.1	1.248	2.879	2.764	5.643
340	42.438	29.084	4.470	14.2	1.429	3.170	2.580	5.750
341	-127.764	-141.118	3.637	15.5	0.858	2.414	2.930	5.343
345	-36.664	-50.018	3.239	17.9	1.003	2.752	2.047	4.798
346	137.988	124.634	4.176	16.4	1.859	2.787	2.413	5.200
347	2.407	-10.946	3.578	16.9	1.053	2.570	1.961	4.531
352	-47.702	-61.056	4.396	14.7	1.309	3.584	2.516	6.099
353	112.341	98.988	3.912	19.6	1.279	3.988	2.376	6.363
356	116.076	102.722	3.962	15.7	1.129	2.733	2.317	5.050
357	71.634	58.280	3.712	12.0	1.484	3.093	2.930	6.023
358	-15.654	-29.008	3.753	13.5	1.340	3.371	3.080	6.452
359	96.359	83.005	3.416	21.3	1.363	2.805	2.273	5.078
360	124.106	110.752	3.224	18.3	0.721	2.124	1.782	3.906
361	4.718	-8.635	3.546	14.3	1.546	3.197	2.670	5.867
362	-85.401	-98.755	3.436	18.2	1.359	2.982	2.340	5.322
363	-19.698	-33.051	3.490	10.8	0.917	2.815	2.637	5.452
364	-112.655	-126.009	4.835	15.9	1.311	2.902	2.483	5.385
365	-78.980	-92.334	3.218	17.4	1.330	3.009	2.370	5.379
366	58.640	45.286	3.308	19.4	1.237	2.517	2.119	4.637
367	82.011	68.657	3.707	17.2	1.246	2.678	2.403	5.081
368	25.780	12.426	3.788	14.8	1.236	2.456	2.469	4.925
369	28.913	15.559	5.003	16.4	1.256	2.624	2.645	5.269
370	54.240	40.886	3.249	20.4	1.471	3.028	2.449	5.477
371	65.380	52.026	3.914	22.3	1.516	2.773	2.556	5.329
372	129.529	116.175	3.516	20.1	0.997	2.359	2.090	4.449
373	158.350	144.997	3.682	15.4	1.262	2.843	2.399	5.242
375	23.740	10.387	3.389	16.0	1.632	3.261	2.683	5.944
376	-37.337	-50.691	3.391	17.5	1.519	3.246	2.651	5.897
377	-94.578	-107.932	3.535	18.4	1.391	3.095	2.587	5.682
378	-30.645	-43.999	4.290	13.0	0.542	1.960	2.352	4.312
379	-47.366	-60.720	3.570	13.8	1.335	2.569	1.904	4.473
381	-42.633	-55.987	7.650	9.0	0.600	0.158	0.000	0.158
382	165.366	152.012	3.595	15.5	1.126	3.034	2.403	5.438
383	141.767	128.413	3.404	15.2	0.703	2.314	2.569	4.883
384	26.238	12.884	3.622	14.7	1.449	3.114	2.399	5.512
385	-30.464	-43.818	3.391	12.8	1.874	3.589	3.002	6.591
386	-37.406	-50.760	3.895	15.6	1.088	2.834	1.642	4.476
387	12.378	-0.976	5.002	12.7	0.331	1.443	2.117	3.560
388	28.763	15.409	3.564	18.7	2.073	3.574	2.788	6.362
389	49.113	35.760	4.168	14.3	1.395	2.879	2.528	5.407
390	-22.269	-35.623	3.713	13.4	0.667	2.055	1.911	3.966
391	157.219	143.865	3.928	12.9	1.271	2.812	1.985	4.796
392	-11.828	-25.182	4.355	12.9	0.918	1.757	1.715	3.472
393	-97.150	-110.504	3.490	18.3	1.298	2.944	2.383	5.326
394	-43.725	-57.079	3.382	17.5	1.491	3.055	2.485	5.540
395	51.227	37.873	3.786	14.2	1.031	2.701	2.215	4.916
396	-51.603	-64.957	3.717	14.9	1.369	3.293	2.164	5.458
398	-40.576	-53.930	3.899	10.3	1.390	1.581	0.868	2.449
399	93.386	80.032	3.939	16.6	1.036	1.894	1.371	3.265
