cluster_id,orbit_status,cluster_in_bdbs_now,orbit_intersects_bdbs_sky,orbit_intersects_bdbs_inner_bulge,orbit_points_in_bdbs_sky,orbit_points_in_bdbs_inner_bulge,model_pericenter_kpc,model_apocenter_kpc,time_of_model_pericenter_Myr,time_of_model_apocenter_Myr,minimum_abs_b_deg,orbit_csv,bdbs_orbit_time_min_Myr,bdbs_orbit_time_max_Myr
NGC 6637,complete,True,True,True,4168,4168,0.714571475,2.10570553,-338.1,-323.6,0.000752084482,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6637_orbit_1Gyr.csv,-993.8,0
NGC 6638,complete,True,True,True,3139,3139,0.170317379,3.0693134,-274.4,-541.6,0.00103543928,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6638_orbit_1Gyr.csv,-967.3,0
NGC 6642,complete,True,True,True,3183,3183,0.0316573663,2.13121452,-639.4,-490.5,0.000886415464,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6642_orbit_1Gyr.csv,-979.9,0
NGC 6652,complete,True,True,True,2493,2493,0.371874242,3.27456525,-261.3,-763.4,0.000168140264,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6652_orbit_1Gyr.csv,-1000,0
NGC 6656,complete,True,True,True,856,147,2.85327696,10.8328946,-303.6,-231,0.00558940261,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6656_orbit_1Gyr.csv,-896.5,0
NGC 6681,complete,True,True,True,1178,764,0.431517033,6.85746464,-669,-881.2,0.000680482291,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6681_orbit_1Gyr.csv,-927.2,0
NGC 6712,complete,False,True,True,2814,1695,0.195412878,5.21106404,-304.3,-753.8,0.00299026604,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6712_orbit_1Gyr.csv,-983,-60
NGC 6715,complete,False,False,False,0,0,15.2411468,68.7190288,-38.9,-572.6,0.00224135942,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6715_orbit_1Gyr.csv,,
NGC 6717,complete,False,True,True,3031,3031,1.10759453,2.50713367,-396.2,-669.5,0.00285868341,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6717_orbit_1Gyr.csv,-996.6,-4.6
NGC 6723,complete,False,True,True,1933,1933,1.06968434,3.72216367,-216.3,-79.4,0.00776649001,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6723_orbit_1Gyr.csv,-1000,-6
NGC 6749,complete,False,True,True,201,36,0.450283773,7.2821182,-249,-841.2,6.05034847e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6749_orbit_1Gyr.csv,-605.3,-106.7
NGC 6752,complete,False,True,True,679,10,2.89193344,5.69602232,-707.2,-900.3,0.00190059085,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6752_orbit_1Gyr.csv,-969.9,-172.3
NGC 6760,complete,False,True,True,585,177,1.8620729,6.13622405,-237,-848.3,0.000357405101,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6760_orbit_1Gyr.csv,-947.7,-87.3
NGC 6779,complete,False,True,True,135,135,1.59710154,15.8554387,-234.1,-534.2,0.00239829466,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6779_orbit_1Gyr.csv,-830,-33.2
NGC 6809,complete,False,True,True,664,516,1.1383883,6.51216409,-304,-513.6,0.00228890042,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6809_orbit_1Gyr.csv,-954.4,-13.3
NGC 6838,complete,False,True,False,425,0,4.94188595,7.16895315,-414.3,-475.9,0.000751042901,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6838_orbit_1Gyr.csv,-1000,-84.6
NGC 6864,complete,False,True,True,95,95,0.931880196,19.8477516,-396.9,-999.4,0.0144775191,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6864_orbit_1Gyr.csv,-634.1,-392.5
NGC 6934,complete,False,False,False,0,0,3.10284806,64.4114942,-850.4,-409.6,0.00677387007,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6934_orbit_1Gyr.csv,,
NGC 6981,complete,False,True,True,76,76,0.93989871,30.5804132,-295.6,-850.2,0.01556211,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6981_orbit_1Gyr.csv,-657.6,-292.4
NGC 7006,complete,False,True,True,63,55,2.35604271,62.6150398,-640,-1000,0.0192966148,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_7006_orbit_1Gyr.csv,-639.9,-633.7
NGC 7078,complete,False,True,False,408,0,4.06520406,11.6976016,-879.6,-966.5,0.00665036425,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_7078_orbit_1Gyr.csv,-391.9,-124.7
NGC 7089,complete,False,True,True,102,102,0.622054647,22.434463,-544.7,-946.9,0.00281027542,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_7089_orbit_1Gyr.csv,-549.7,-280.4
NGC 7099,complete,False,True,True,392,225,1.24048883,10.4047408,-858.2,-538.3,0.000781991398,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_7099_orbit_1Gyr.csv,-862.4,-212.5
NGC 7492,complete,False,False,False,0,0,2.81674061,26.9815557,-927.9,-70.8,0.00265239126,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_7492_orbit_1Gyr.csv,,
Pal 1,complete,False,True,False,1002,0,16.1944504,20.9728672,-909.5,-274.7,0.00197182612,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_1_orbit_1Gyr.csv,-918.1,-298.4
Pal 10,complete,False,True,False,14,0,6.5162241,14.250202,-209.9,-95.1,0.000487776765,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_10_orbit_1Gyr.csv,-230.8,-229.5
Pal 11,complete,False,True,False,604,0,5.07458179,8.92429744,-530.6,-305,0.00973428693,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_11_orbit_1Gyr.csv,-992.3,-175.6
Pal 12,complete,False,False,False,0,0,15.28507,81.762039,0,-626.2,0.000783344556,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_12_orbit_1Gyr.csv,,
Pal 13,complete,False,False,False,0,0,7.43776637,69.5606865,-74.1,-572.7,0.0366005792,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_13_orbit_1Gyr.csv,,
Pal 14,complete,False,True,True,30,30,0.472772711,116.481788,-245.6,-1000,0.0544399116,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_14_orbit_1Gyr.csv,-249.2,-246.3
Pal 15,complete,False,True,True,54,54,0.537929484,50.6637131,-809.4,-474,0.00656815641,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_15_orbit_1Gyr.csv,-809.1,-142
Pal 2,complete,False,True,True,624,91,0.234982273,40.382271,-851.1,-115.5,0.00536559603,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_2_orbit_1Gyr.csv,-849.3,-367.6
Pal 3,complete,False,False,False,0,0,98.1418446,116.138378,0,-531.8,0.00106443688,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_3_orbit_1Gyr.csv,,
Pal 4,complete,False,True,False,606,0,62.2740457,104.027734,-714.5,0,0.00319038562,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_4_orbit_1Gyr.csv,-826.8,-766.3
Pal 5,complete,False,False,False,0,0,11.1213187,17.8660163,-530.3,-36.4,0.00424362863,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_5_orbit_1Gyr.csv,,
Pal 6,complete,False,True,True,4185,4185,0.175208221,2.99363013,-438.9,-98.3,0.000373443117,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_6_orbit_1Gyr.csv,-976.4,-2.4
Pal 8,complete,False,True,True,2167,1518,0.736439643,4.57121393,-367.5,-279.7,0.000703504055,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pal_8_orbit_1Gyr.csv,-943.2,-181.2
Patchick 126,complete,False,True,True,933,793,1.49128087,4.79421314,-693.5,-784.4,1.52830213e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Patchick_126_orbit_1Gyr.csv,-999.2,-114.9
Pyxis,complete,False,False,False,0,0,38.5912296,140.206154,0,-1000,0.00862303896,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Pyxis_orbit_1Gyr.csv,,
Rup 106,complete,False,False,False,0,0,5.17532848,41.3602211,-498,-782.8,0.00186145335,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Rup_106_orbit_1Gyr.csv,,
Sagittarius II,complete,False,False,False,0,0,59.5860975,138.224881,0,-1000,22.8930151,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Sagittarius_II_orbit_1Gyr.csv,,
Ter 1,complete,False,False,False,0,0,0.064351662,2.78067933,-857.6,-839.9,8.89117632e-06,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ter_1_orbit_1Gyr.csv,,
Ter 10,complete,False,True,True,925,850,0.325942089,6.51000604,-865.2,-433.2,0.00340804843,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ter_10_orbit_1Gyr.csv,-872.7,-0.2
Ter 12,complete,True,True,True,2013,1599,0.866280658,4.87821454,-383.6,-604.7,0.000687942153,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ter_12_orbit_1Gyr.csv,-989.2,0
Ter 2,complete,False,True,True,2243,2243,0.321009123,1.61075883,-901.8,-199.1,0.000406447918,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ter_2_orbit_1Gyr.csv,-992.6,-10.1
Ter 3,complete,False,True,True,1745,1616,1.73717115,3.90476986,-996.4,-967.7,0.00218498677,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ter_3_orbit_1Gyr.csv,-994.6,-15.2
Ter 4,complete,False,True,True,2570,2570,0.0657850651,0.880182917,-81.9,-408.9,1.41504304e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ter_4_orbit_1Gyr.csv,-995.3,-4.4
Ter 5,complete,False,True,True,26,26,0.0347244386,2.35842387,-42.1,-336.8,9.62504099e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ter_5_orbit_1Gyr.csv,-980.2,-58.6
Ter 6,complete,True,True,True,918,918,0.0867578736,1.75685123,-460.1,-11.6,3.92842292e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ter_6_orbit_1Gyr.csv,-1000,0
Ter 7,complete,False,False,False,0,0,14.8521252,78.4628489,-27.7,-633.4,0.000821410221,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ter_7_orbit_1Gyr.csv,,
Ter 8,complete,False,False,False,0,0,18.0508479,97.1416036,-33.7,-806.3,0.000750882924,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ter_8_orbit_1Gyr.csv,,
Ter 9,complete,False,True,True,790,790,0.0978390777,2.75780832,-240.7,-404.3,0.000168812042,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ter_9_orbit_1Gyr.csv,-994,-71.9
Ton 2,complete,True,True,True,1965,1965,1.3928988,3.4687873,-980.9,-901.5,0.00259430088,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Ton_2_orbit_1Gyr.csv,-989.1,0
UKS 1,complete,False,True,True,1054,380,0.32027691,9.10151332,-977.2,-82,0.000627331809,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/UKS_1_orbit_1Gyr.csv,-883.8,-31.2
VVV-CL001,complete,False,True,True,457,321,0.139982747,4.37966609,-671.2,-358.6,0.000440434052,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/VVV-CL001_orbit_1Gyr.csv,-869.3,-145.7
VVV-CL160,complete,False,True,True,1165,355,0.198909304,20.1107888,-651.6,-527.7,0.00164237662,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/VVV-CL160_orbit_1Gyr.csv,-886.1,-175
Whiting 1,complete,False,False,False,0,0,35.1132721,81.3399201,0,-561.5,0.00242451813,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Whiting_1_orbit_1Gyr.csv,,
