cluster_id,orbit_status,cluster_in_bdbs_now,orbit_intersects_bdbs_sky,orbit_intersects_bdbs_inner_bulge,orbit_points_in_bdbs_sky,orbit_points_in_bdbs_inner_bulge,model_pericenter_kpc,model_apocenter_kpc,time_of_model_pericenter_Myr,time_of_model_apocenter_Myr,minimum_abs_b_deg,orbit_csv,bdbs_orbit_time_min_Myr,bdbs_orbit_time_max_Myr
IC 1276,complete,False,True,False,104,0,3.43139298,7.50068419,-957.7,-902.4,0.00107889377,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/IC_1276_orbit_1Gyr.csv,-986.8,-102
IC 4499,complete,False,False,False,0,0,7.42332206,33.7698628,-921.3,-676.1,0.00593814575,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/IC_4499_orbit_1Gyr.csv,,
Laevens 3,complete,False,False,False,0,0,19.5586668,88.0713395,-262.7,-971.3,0.0021886843,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Laevens_3_orbit_1Gyr.csv,,
Liller 1,complete,False,False,False,0,0,0.14723437,1.1456199,-104.3,-88.9,7.68066816e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Liller_1_orbit_1Gyr.csv,,
Lynga 7,complete,False,True,True,1402,612,1.28206739,5.17725348,-971,-940,0.000108900801,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Lynga_7_orbit_1Gyr.csv,-857.2,-28.7
Mercer 5,complete,False,False,False,0,0,1.91021616,6.42142488,-961.8,-699.8,2.41809232e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/Mercer_5_orbit_1Gyr.csv,,
NGC 104,complete,False,True,False,490,0,5.69207147,7.65650348,-779.1,-290.1,0.00192723693,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_104_orbit_1Gyr.csv,-674.5,-468.5
NGC 1261,complete,False,True,True,289,101,1.47866062,21.7069537,-740.3,-61.7,0.001536462,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_1261_orbit_1Gyr.csv,-745.5,-193.1
NGC 1851,complete,False,True,True,298,161,0.823741878,20.8480232,-330.2,-198.4,0.00464823312,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_1851_orbit_1Gyr.csv,-842.7,-323.9
NGC 1904,complete,False,True,True,470,326,0.2069804,20.3936204,-99.3,-226,0.00460763238,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_1904_orbit_1Gyr.csv,-764.7,-93.7
NGC 2298,complete,False,True,True,323,268,1.05726515,18.661762,-146.3,-714.1,0.0232920869,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_2298_orbit_1Gyr.csv,-604.9,-141.9
NGC 2419,complete,False,True,False,158,0,14.1000523,97.5164724,-862.8,-110.3,0.0260739194,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_2419_orbit_1Gyr.csv,-897.7,-882
NGC 2808,complete,False,True,True,106,106,0.116011553,20.3157889,-365.4,-489.6,8.31443204e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_2808_orbit_1Gyr.csv,-826.7,-367.4
NGC 288,complete,False,True,True,134,123,1.93352239,13.4015681,-775.2,-354.1,0.00125435172,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_288_orbit_1Gyr.csv,-936.7,-771.5
NGC 3201,complete,False,False,False,0,0,8.43358587,41.3297421,-592.2,-291.2,0.000862273314,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_3201_orbit_1Gyr.csv,,
NGC 362,complete,False,True,True,262,262,0.539947956,12.4969972,-36,-112.9,0.00707274727,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_362_orbit_1Gyr.csv,-734.5,-31.8
NGC 4147,complete,False,True,True,76,76,1.73649391,27.7192971,-81.1,-617.8,0.00698902364,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_4147_orbit_1Gyr.csv,-799.7,-79.4
NGC 4372,complete,False,True,True,407,123,2.71319454,8.26278052,-717,-435.2,9.06855299e-06,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_4372_orbit_1Gyr.csv,-728.1,-146.6
NGC 4590,complete,False,False,False,0,0,9.0643128,39.9744986,-570.4,-864.9,0.00683892433,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_4590_orbit_1Gyr.csv,,
NGC 4833,complete,False,True,True,1112,510,0.48741048,8.17855136,-835.6,-789.2,0.000212140511,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_4833_orbit_1Gyr.csv,-924.2,-34.2
NGC 5024,complete,False,False,False,0,0,9.81245088,24.0625826,-687.4,-100.7,0.00326660723,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5024_orbit_1Gyr.csv,,
NGC 5053,complete,False,False,False,0,0,12.2562024,18.0498457,-845.8,-676.3,0.00340241924,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5053_orbit_1Gyr.csv,,
NGC 5139,complete,False,True,True,959,340,0.995385357,9.14331949,-555.3,-223.5,0.0031702287,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5139_orbit_1Gyr.csv,-935.9,-64.7
NGC 5272,complete,False,True,False,33,0,5.1645895,17.3649889,-465.5,-336.3,0.00465868262,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5272_orbit_1Gyr.csv,-960.4,-957.2
NGC 5286,complete,False,True,True,528,342,0.68361231,14.3116172,-657.1,-909.9,0.00080201826,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5286_orbit_1Gyr.csv,-837.3,-141.3
NGC 5466,complete,False,False,False,0,0,6.71707452,62.7840835,-44.4,-489.2,0.0636341274,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5466_orbit_1Gyr.csv,,
NGC 5634,complete,False,True,True,172,57,3.11446386,23.5990757,-791.6,-334.5,0.011513411,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5634_orbit_1Gyr.csv,-790.5,-168.4
NGC 5694,complete,False,True,True,25,25,2.78331662,70.7857239,-889.5,-401.3,0.157006781,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5694_orbit_1Gyr.csv,-892.2,-889.8
NGC 5824,complete,False,False,False,0,0,16.2121897,39.8194404,-560,-227.2,9.79982237e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5824_orbit_1Gyr.csv,,
NGC 5897,complete,False,True,True,532,235,2.05411381,10.7099105,-306,-375.1,0.00475916135,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5897_orbit_1Gyr.csv,-985.8,-31.9
NGC 5904,complete,False,True,True,110,35,2.68559718,35.9743285,-921.1,-681.9,0.0162306129,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5904_orbit_1Gyr.csv,-924.9,-445.3
NGC 5927,complete,False,True,False,860,0,3.93529637,5.76619744,-907.6,-302.7,0.000989535829,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5927_orbit_1Gyr.csv,-707.9,-35.5
NGC 5946,complete,False,True,True,2175,1404,0.264094208,5.51149312,-589,-555.2,0.00253516348,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5946_orbit_1Gyr.csv,-862.9,-23.1
NGC 5986,complete,False,True,True,1366,842,0.606594233,5.49484142,-623.9,-520.6,0.000953903446,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_5986_orbit_1Gyr.csv,-1000,-24.8
NGC 6093,complete,False,True,True,1154,995,0.573834613,4.61195206,-605,-983.3,0.00552743746,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6093_orbit_1Gyr.csv,-955.7,-30.9
NGC 6101,complete,False,False,False,0,0,10.1295871,56.0441201,-7.3,-419.3,0.0257211169,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6101_orbit_1Gyr.csv,,
NGC 6121,complete,False,True,True,159,159,0.411192512,6.68649824,-743.4,-706.7,0.000108994139,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6121_orbit_1Gyr.csv,-358.3,-33.7
NGC 6139,complete,False,True,True,1627,1504,1.41063256,3.71754776,-441.1,-360.4,0.0018808159,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6139_orbit_1Gyr.csv,-972.3,-10.9
NGC 6144,complete,False,True,True,791,519,1.21352489,5.54719818,-811.8,-178.4,0.00362209887,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6144_orbit_1Gyr.csv,-948.4,-219.8
NGC 6171,complete,False,True,True,2343,1974,1.07115013,4.03639312,-244.5,-957.4,0.00291941284,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6171_orbit_1Gyr.csv,-990.8,-25.6
NGC 6205,complete,False,True,True,439,237,1.27430693,9.6609974,-65.1,-592.8,0.000131467913,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6205_orbit_1Gyr.csv,-774.6,-66.4
NGC 6218,complete,False,True,True,1175,811,2.16036289,4.75572164,-102.6,-8.3,0.00100223092,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6218_orbit_1Gyr.csv,-1000,-43.7
NGC 6229,complete,False,True,True,55,55,1.25272144,29.6295075,-887.9,-349,0.000745292841,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6229_orbit_1Gyr.csv,-886.6,-154.6
NGC 6235,complete,False,True,False,199,0,3.52143507,10.1508618,-853.7,-363,0.00649455187,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6235_orbit_1Gyr.csv,-1000,-429.5
NGC 6254,complete,False,True,True,1408,792,1.72564785,5.05607017,-583.8,-615.9,0.000169208655,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6254_orbit_1Gyr.csv,-980.3,-17.6
