t_Myr,rJ_kpc,rJ_arcmin,EJcrit_kms2,L1_x,L1_y,L1_z,L2_x,L2_y,L2_z
64.0,0.046511067716976155,15.18454632951514,-254802.56271228797,-1.3535189952938642,1.7994673924750175,-1.0562184246296646,-1.4094358255248756,1.8738073264110173,-1.099853118004663
65.0,0.045892035406173703,14.982449812186303,-254660.03308611945,-1.1827990194947027,1.8675195789655918,-1.1023662500574327,-1.2319093627772773,1.9450598255318343,-1.1481369888483497
66.0,0.045348189275527785,14.804899453265895,-254556.65352355308,-1.006665257768911,1.9269569263189485,-1.1396940506078428,-1.0486608251027834,2.007344769968238,-1.187239247854833
67.0,0.04489074779914509,14.65555776682167,-254493.78341381546,-0.8258922038534372,1.977440883901221,-1.1680220263793586,-0.8604934506849197,2.06028695000923,-1.216957006332908
68.0,0.04453010483242209,14.537818052267223,-254472.25886571038,-0.6412880827640262,2.018673990878476,-1.1872037727928035,-0.668252619581569,2.10355411045757,-1.2371226792902081
69.0,0.04427515262076012,14.454583375881146,-254492.3861771434,-0.45369085058492775,2.0504025837083777,-1.1971277991984102,-0.4728215774523242,2.1368616598536354,-1.2476069413770667
70.0,0.044132644053821286,14.408058364883695,-254553.93895956132,-0.26396390661182456,2.0724193400069395,-1.1977189678750226,-0.27511615214909824,2.1599772551500123,-1.2483215528490168
71.0,0.04410667389658945,14.399579844070727,-254656.16133473907,-0.07299151706838937,2.084565714753771,-1.18893984959664,-0.07607843462196583,2.172725034561139,-1.2392218472762837
72.0,0.044198355545109286,14.429511305717387,-254797.7779677685,0.11832610423746337,2.0867343161939114,-1.170792000492411,0.12333050904777021,2.1749892563619393,-1.2203086913096342
73.0,0.04440574719386145,14.497218805317152,-254977.01063600386,0.3090781576045128,2.078871223690036,-1.143317145021567,0.3221387310730995,2.1667171282960687,-1.191629771465898
74.0,0.04472404366160722,14.60113358728726,-255191.60013460502,0.49834917221851893,2.0609781761703228,-1.1065982138135035,0.519372064852889,2.1479206761980145,-1.1532801323061588
75.0,0.045146008196113814,14.738893056982022,-255438.83102456896,0.6852255484788434,2.0331144802020837,-1.060760154548779,0.7140630901125042,2.1186775821602364,-1.1054019738563576
76.0,0.045662584944448005,14.907540734897355,-255715.55427038434,0.8688027217726594,1.995398428842829,-1.005970434394319,0.9052601441436917,2.079130997233485,-1.0481838024011025
77.0,0.04626361636359794,15.103760470920427,-256018.19804309547,1.0481928374306244,1.9480080067258592,-0.9424392068880325,1.0920361617214234,2.0294883829601678,-0.9818591173247799
78.0,0.04693859211387907,15.324120936816636,-256342.7477669564,1.2225327274488325,1.8911806888304545,-0.8704192463792683,1.273497171604384,1.9700194556298414,-0.9067049277994984
79.0,0.04767736941141779,15.565310800913787,-256684.65816048853,1.390991912115078,1.8252122126596781,-0.7902059942023854,1.4487903119258732,1.9010533043928717,-0.8230405790680504
80.0,0.04847080888774323,15.82434631825007,-257038.6209764431,1.5527803386636283,1.7504543072469922,-0.7021384984094144,1.6171112369576226,1.822974737345112,-0.731227738661096
81.0,0.04931120639221792,16.098712301838255,-257398.02206113582,1.7071556643060526,1.667311509885451,-0.606602887426073,1.7777107403961243,1.7362198659922967,-0.6316731922457576
82.0,0.0501920604348563,16.386286199332364,-257753.69682044158,1.8534302814536638,1.5762374836359894,-0.5040418881519292,1.9299001569265788,1.6412707817834917,-0.5248379336281478
83.0,0.051105276087151146,16.684425245838238,-258090.9991865977,1.9909797452864928,1.4777320176014004,-0.39497836968033045,2.0730539185050483,1.538648575828752,-0.411260566024855
84.0,0.05202860665910839,16.98586652714052,-258382.6471843644,2.119259528217998,1.3723421038106287,-0.28007219008916884,2.206602993523825,1.4289020075580945,-0.2916151253891932
85.0,0.05288711842916147,17.266146305410302,-258572.10970801377,2.2378471774240425,1.2606721113082446,-0.16025680932092135,2.3300042600450515,1.312588017404017,-0.16685636632649292
86.0,0.05354247042359133,17.480100170802395,-258552.03686105687,2.346468242398729,1.1433710214906583,-0.03704291014424035,2.4427329682096324,1.1902782397070077,-0.03856260920678887
87.0,0.05396492068155407,17.618018215448995,-258217.00477451342,2.4448596725149816,1.0210481612439017,0.08708990020638178,2.5444531021953267,1.0626414229718777,0.09063758106086213
88.0,0.054137886293699075,17.674486589106007,-257612.05706444028,2.532861652408669,0.8943290078233912,0.2092707433010202,2.634959878427982,0.9303789062019894,0.21770632904588655
89.0,0.054145436688708554,17.676951579235347,-256873.13624258837,2.6103229665397234,0.7638168948635202,0.327535964964594,2.714255701223871,0.794229062131218,0.3405771514317641
90.0,0.05410814333806564,17.6647763564676,-256092.76044618274,2.677128486021621,0.6301144815161199,0.4408063101549471,2.7824663059555794,0.6549077950004354,0.45815085524021404
91.0,0.05406736916797068,17.651464744732042,-255316.27914380547,2.733291062896123,0.49384223741816147,0.5484593399134916,2.8397028898761376,0.5130683840356693,0.5698118263635106
92.0,0.05402916821143904,17.63899321434671,-254566.1125988068,2.778899336492156,0.3556073009872409,0.6500946417606397,2.886083636043203,0.36932334998945837,0.6751692955647466
93.0,0.05399120630805205,17.626599728042677,-253854.37918990044,2.814082082260916,0.21599073318370648,0.745429170147867,2.921747825511081,0.22425445902523855,0.773949015446709
94.0,0.053950155252778284,17.613197721138146,-253188.20895041816,2.8389929727140037,0.07554542375075284,0.8342492306913425,2.946855101997694,0.07841562820060928,0.8659449408394471
95.0,0.053903277846800005,17.597893575741697,-252572.07713612646,2.853802751056116,-0.06520281630214184,0.9163862897266928,2.961581179323847,-0.06766530501376486,0.9509950845904196
96.0,0.05384860608227844,17.580044793031618,-252008.93127148465,2.858694263035026,-0.2057531638119876,0.9917034395036517,2.966113600670164,-0.21348461969337051,1.0289680494269497
97.0,0.05378482484119788,17.559222024222375,-251500.79152141418,2.8538589661542373,-0.3456273286890092,1.060087067985551,2.960648309277028,-0.3585604539182919,1.0997547610936287
98.0,0.05371112568892459,17.535161338302423,-251049.09913334032,2.839494418911271,-0.48436696908856447,1.1214413166766282,2.945387071764138,-0.5024303619832603,1.1632629857916645
99.0,0.05362708591304535,17.507724731640852,-250654.93292721763,2.8158025097705304,-0.6215310880085168,1.175684171215001,2.9205356420305844,-0.644648795098506,1.2194134758706558
100.0,0.05353257769510304,17.47687047513147,-250319.1506146255,2.7829882759806592,-0.7566934723539832,1.222744590340127,2.8863025395495727,-0.7847845820141949,1.2681371483951365
101.0,0.053427701919938536,17.442631504817573,-250042.48396427333,2.7412592052157074,-0.8894402082914415,1.2625603457495147,2.8428983337378217,-0.922418456926691,1.3093729685778845
102.0,0.053312740444169844,17.405099838902238,-249825.60370345655,2.690824940215888,-1.0193672898585389,1.2950763811739094,2.790535348941049,-1.0571406609886207,1.3430663463950558
103.0,0.05318812193849914,17.364415426228966,-249669.16336177773,2.631897327199495,-1.1460783270642,1.3202435729884678,2.7294277258080073,-1.188548629731397,1.3691679290426246
104.0,0.053054397794632585,17.32075828057339,-249573.82759185912,2.5646907657074194,-1.2691823532141688,1.3380178180174342,2.659791793170435,-1.3162447700335713,1.3876327154384815
105.0,0.05291222567633245,17.274343110527617,-249540.2883132662,2.489422831887184,-1.388291727864971,1.348359401691968,2.581846720169301,-1.4398343255770312,1.3984194465786168
106.0,0.052762359101317234,17.225415918285723,-249569.2705968472,2.4063151596734214,-1.5030201310038673,1.351232618810394,2.4958154317649006,-1.5589233281154515,1.4014902446896347
107.0,0.05260564204472236,17.17425223782647,-249661.52917037284,2.3155945753443565,-1.6129806454339306,1.3466056337812586,2.401925782455287,-1.6731166328168565,1.3968104887694974
108.0,0.05244300803270314,17.121156839000367,-249817.83558000097,2.217494490896059,-1.7177839278282776,1.3344505796772244,2.300411993443289,-1.782016039247745,1.3843489265699942
