label,RA_deg,Dec_deg,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_masyr,pm_dec_masyr,RV_kms,release_time_Myr
rotating-bar,276.3394617077178,-24.701603585755382,8.033171070506802,-5.66667608034979,2.2153939810750343,1.4592964869668583,-1.0418284853008115,86.65238488196898,-142.6369520246931,-88.11178562167116,-1.9728176955804155,-7.912399051310382,28.373892139417926,-497.5
rotating-bar,266.48645989141426,-37.31690500401419,352.86645873342064,-4.41072337246742,1.355175298996198,-1.1863235232691918,-0.7403239413482753,-125.76801242164771,-139.42594044478102,126.88848149754584,-6.640512004156546,-6.262113121147107,-98.94894473650251,-497.5
rotating-bar,276.34366030993203,-24.238849891160886,8.44799787886914,-5.457651828034126,2.18263733227252,1.5308493823876215,-1.0011597178583698,93.54867984047782,-135.64761533094432,-97.05277718186264,-1.7773357070335538,-7.906278107958262,33.871355636519404,-497.0
rotating-bar,264.7040662938189,-38.52330762419376,351.09802507515985,-3.844105618094975,1.0848450730717516,-1.44233808574448,-0.6290581390317393,-138.8234826228433,-121.94789921154344,139.5324956401274,-7.022054040404383,-5.904782203572601,-101.94914003610549,-497.0
rotating-bar,276.31453344542,-24.972060995966398,7.781204640221718,-5.770610097707315,2.2393327040129916,1.4162259231357581,-1.062825289651347,86.62134454636545,-142.51283375324084,-84.77876692574335,-2.028213735996816,-7.8615593118980716,29.912857177229565,-496.5
rotating-bar,264.4217352726436,-38.41398672246774,351.0729563690358,-3.5987719684226898,1.0950260359774193,-1.448049654829535,-0.5896869235832094,-138.11732243167933,-120.96516746492789,144.4995916096617,-7.125050821776866,-5.792997036071574,-101.02533482061155,-496.5
rotating-bar,276.2948163585731,-25.01762973466545,7.732266301855622,-5.77562372856119,2.2621558492112452,1.4103093629133219,-1.06601580868392,84.00923391361785,-143.8971864422385,-80.72761851879758,-2.1008929816876005,-7.828106359862363,27.07824967583073,-496.0
rotating-bar,265.25245281084796,-38.08419416113542,351.6996258233471,-3.9774059450479333,1.170252710981262,-1.3559073263405066,-0.6560406747667645,-134.91391612240162,-129.54157003671915,135.77363820267428,-6.932319555097658,-6.054553526018168,-101.06163465187801,-496.0
rotating-bar,276.46055117875324,-25.00885449275136,7.809265092066087,-5.905110357418677,2.2324263789461494,1.4204581473180762,-1.0869777890854921,90.84191267785508,-140.91234166807004,-78.13506406251445,-2.138709042142447,-7.783093879021904,33.60556863735998,-495.5
rotating-bar,265.99688860058575,-37.28360829711381,352.69258071248856,-4.060433475229968,1.3750886592792253,-1.2180867903001378,-0.6833253736672431,-126.14353770884215,-137.1156725134524,131.8653626396569,-6.740625764593524,-6.115540686794226,-98.08601938952938,-495.5
rotating-bar,276.28737107627177,-25.629820545288133,7.182093532702849,-6.050115354173774,2.3066574059740415,1.3144868329126527,-1.120259916207398,74.39069400291332,-148.49510107754693,-75.54949171290673,-2.1964908078180136,-7.8167140212892114,20.648530387092862,-495.0
rotating-bar,265.7629900235413,-38.01889709438909,351.96660719708103,-4.28559283380824,1.1741999932440905,-1.312283654354778,-0.706672718066503,-130.17050711081345,-137.0867261895749,130.80675935559913,-6.875177092966421,-6.271711526240644,-97.41570750874052,-495.0
rotating-bar,276.4539675344102,-24.689504130320724,8.091905373409212,-5.753588299091321,2.240651736509182,1.4737067376842892,-1.060620054840034,80.71177084286391,-142.51758999653958,-85.0498596502563,-1.9966100447305906,-7.85304039647761,21.964566436233994,-494.5
rotating-bar,266.28465824048106,-37.34696222321841,352.7574427480284,-4.288925918713172,1.3568504323507933,-1.204852472559992,-0.7201978943417554,-123.81296356510785,-141.46982554712883,127.46283204511742,-6.692559915209763,-6.272566632997108,-95.8077854890586,-494.5
rotating-bar,276.3707058724629,-24.35772297372674,8.353280438803589,-5.534132672461474,2.17396971072646,1.5121708218934575,-1.0140837522874109,96.60056178333932,-136.99997916194383,-92.46666469766413,-1.8810729500149501,-7.899779896998165,37.00261802658603,-494.0
rotating-bar,263.47576281843214,-38.0273634689257,350.9993855850949,-2.764266724965434,1.0582519416031344,-1.4543005856175726,-0.45153324577045134,-141.38131193802937,-117.9612760756207,158.58466982495315,-7.480904049392508,-5.513969382033934,-103.0268628373519,-494.0
rotating-bar,276.3759578072594,-25.29138560198532,7.5214699892229,-5.966323777569406,2.287834380954791,1.3748129886053415,-1.1035164514327818,73.09637335868781,-146.49209785054688,-79.13381728003809,-2.1095309171741645,-7.82517791918042,17.54678962155965,-493.5
rotating-bar,264.2018597604441,-38.66146713814892,350.7712808781,-3.585550138136557,0.9871303635756336,-1.4802921277652428,-0.5808900558276248,-139.35352601664715,-123.82318470878167,144.16598715014064,-7.253778775744255,-5.9122416034225465,-99.7060789208681,-493.5
rotating-bar,276.4192724785921,-24.12756683571692,8.5791236319822,-5.467826767716772,2.1714961761590112,1.5532864133977677,-1.0022621085154844,91.18342809020234,-135.4198248011762,-100.0645246798671,-1.7120674349968479,-7.933756079681978,31.004012071082983,-493.0
rotating-bar,263.32754170185893,-38.71727563835833,350.35586225053885,-3.040712288457671,0.908048415546349,-1.5346946730233628,-0.48893916538971494,-145.7579615631652,-112.57349362104958,154.9725748137252,-7.470721780067272,-5.569885943764491,-104.43220792128974,-493.0
rotating-bar,276.32480686193384,-24.426925595379195,8.272233173621075,-5.528767564746735,2.186966711222035,1.4991817317365632,-1.0141963000665304,92.75413550840385,-137.9247461081366,-95.45366079511838,-1.8243509396765185,-7.927596508018911,33.918800690476836,-492.5
rotating-bar,266.1414244120851,-37.49854090860256,352.5683231311896,-4.270253868291923,1.328421137617277,-1.232954825531768,-0.7151548530851892,-127.20735534342815,-136.63297104003732,129.6285650622465,-6.70878662333561,-6.180864983465261,-98.59638590688404,-492.5
rotating-bar,276.56478327486,-23.59303291753887,9.117500097626568,-5.340715996585176,2.1052594562979547,1.6417362270392293,-0.9739320727501588,102.89962259951825,-130.50472511138608,-97.96529595721,-1.7451685858044654,-7.898050777615435,39.22522166887419,-492.0
rotating-bar,263.39393502062967,-38.43245800324514,350.62365354687785,-2.929817579104815,0.9728673730720996,-1.5019961757385292,-0.47431970968145243,-145.32154252671907,-112.95125904817384,156.24055654194922,-7.446459929692713,-5.518308682930552,-105.50635078862508,-492.0
rotating-bar,276.43707813702827,-25.107230975086207,7.711541473643753,-5.931219755057775,2.264082359217145,1.4067541162512538,-1.0949424397139373,84.7308348364314,-141.4615874797668,-79.19809600669817,-2.100795805862059,-7.769986505714282,28.328321701370772,-491.5
rotating-bar,265.5015083014512,-37.753289837916455,352.08533373878277,-3.9707712000330706,1.2489089595378657,-1.3030082748496976,-0.6600372100231784,-130.44668884153768,-133.00098652369684,136.23065966858135,-6.904978621219926,-6.058579401296039,-98.82644325739213,-491.5
rotating-bar,276.70362971339364,-24.61081012653613,8.266581334061826,-5.9193745360995065,2.22491230970331,1.5036843990094626,-1.0900249547145642,86.58218732708121,-139.18091841187953,-77.90250700266822,-2.1017323597246644,-7.748242207821271,26.532167607109137,-491.0
rotating-bar,266.0325603107957,-37.47086637602571,352.54703156995913,-4.1820640432837655,1.356615702415828,-1.240211459911188,-0.7025853199258992,-126.8921253393119,-136.08836799199335,129.22369149581505,-6.6857905933540644,-6.147607274761601,-98.00110113759403,-491.0
rotating-bar,276.5737487004979,-24.369647229818934,8.427831558110336,-5.7039800724644145,2.1888678116768743,1.5280823094328804,-1.0469894063291898,93.68195936002535,-137.36950925600902,-84.90425720258516,-1.9969891557178927,-7.819329958182379,33.0872321010805,-490.5
rotating-bar,265.8603136612438,-37.886039409416426,352.12041877517095,-4.281791835337813,1.2833345915578178,-1.3019421540202456,-0.7143122109634539,-129.09164717159163,-132.43084408522634,129.3919770308168,-6.707645022809199,-6.129246734765998,-97.93757933717922,-490.5
rotating-bar,276.7257936114874,-22.392355142393637,10.256717867866938,-4.920997575880495,1.984570588050649,1.8291918457727059,-0.8895678300491918,111.1780610036332,-116.7996965049512,-113.24549350315532,-1.3817656419149544,-7.903835795749582,42.724297282634865,-490.0
rotating-bar,264.9043635533367,-38.10473988493735,351.5372334544052,-3.7555586644886625,1.1835563512147154,-1.3847867969188674,-0.6206761495738788,-136.4328694530305,-124.30386315212948,139.56164108043694,-6.964893031907721,-5.8828168503294815,-102.00783484562218,-490.0
