RA_deg,Dec_deg,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,RV_kms,pmRA_masyr,pmDec_masyr,ReleaseTime_Myr
280.0507067689193,-19.98193759481323,13.827271809731446,-6.594061028329811,0.265003615585933,2.0649016727740994,-0.9994343818533065,23.828387945251126,-2.4197341374356927,-0.8483564637285442,-1000.0000000001588
284.17547798409976,-29.241204663254212,6.924448081399311,-13.920632556132308,-2.069011423028003,0.7355786251024155,-1.5069612072803107,-129.3292864498385,0.32098664499936524,-6.210837692222319,-1000.0000000001588
264.44705407351285,-12.020532557816464,13.564007194161295,10.368534651276608,0.8218714584347379,2.1567541738975313,1.6804891995924616,66.83398186849494,-2.1257370492405077,-4.392276290219594,-999.9000000001588
253.36864645806975,-30.606771928689447,352.1464794258092,8.333054346952078,-0.7502407475802328,-1.0164451256562042,1.091511866014522,-200.53260614184242,-2.2879761951847257,-4.5147425608832,-999.9000000001588
264.3241439411118,-12.294042270879881,13.262710287466833,10.33118861076723,0.3066175587563198,1.9856872899562896,1.577061210436214,49.91714492462195,-2.9232181750579893,-2.0626708657799013,-999.8000000001588
277.65292744426836,-31.57276264962365,2.3591311057955604,-9.78410368063153,-1.4198165306654231,0.27623310101238985,-1.1536017017564297,-163.7254239748147,1.7469347561730664,-5.337130822750978,-999.8000000001588
281.2885662943728,-18.218748861267365,15.941331315480713,-6.856681754832671,0.5530239448344746,2.4786993955580447,-1.0866100979630249,23.49871784912345,-3.0853470148342788,-2.0185776384580927,-999.7000000001588
276.96833001045604,-31.152798863646,2.48061751224655,-9.074367800514766,-1.154709743430546,0.3019555829197643,-1.111317524884795,-200.3386439962301,0.5977338613943848,-4.252555436718352,-999.7000000001588
277.908624684197,-23.13360317474508,10.093415961372246,-6.229675633250353,1.5069924297520259,1.714522963259118,-1.071762738951086,-34.626345247347736,2.2105969976899615,-3.6718725438219817,-999.6000000001587
284.57840821098137,-29.610635883431424,6.718790916228933,-14.38954443204091,-2.215690081798248,0.6962519989581631,-1.5211413576123811,-111.62849291207594,0.32847223402757636,-6.288488925424999,-999.6000000001587
