fiberid,RVraw,RV,e_RV,S/N,CaT1,CaT2,CaT3,SumEW23,BDBS_match,n6569_oid,radeg,decdeg,umag,uerr,gmag,gerr,rmag,rerr,imag,ierr,zmag,zerr,ymag,yerr,Au,Ag,Ar,Ai,Az,Ay,bdbs_id,gaia_id,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag
87,97.303,83.949,3.539,23.700,1.082,2.682,2.141,4.823,matched,322634,273.370,-32.041,20.255,0.000,17.856,0.000,16.760,0.001,16.174,0.000,15.815,0.001,15.588,0.004,1.592,1.271,0.932,0.690,0.531,0.423,147694125,4048786814346092032,4048786814346092032,273.37000,0.052,-32.04095,0.046,0.096,0.057,-4.271,0.064,-6.701,0.048,16.624
88,6.121,-7.232,3.305,31.700,1.328,2.979,2.234,5.213,matched,369256,273.456,-32.100,20.111,0.028,17.410,0.000,16.258,0.004,15.705,0.004,15.353,0.005,15.124,0.008,1.586,1.266,0.929,0.688,0.529,0.421,147931072,4048783069132858240,4048783069132858240,273.45640,0.044,-32.09980,0.038,0.088,0.045,-4.063,0.053,-6.480,0.040,16.133
90,52.392,39.038,5.156,13.600,0.383,2.912,2.013,4.926,matched,359584,273.438,-32.045,19.934,0.008,18.432,0.018,17.535,0.004,17.114,0.017,16.829,0.000,16.686,0.030,1.907,1.522,1.117,0.827,0.636,0.506,147880815,4048784104237600000,4048784104237600000,273.43789,0.122,-32.04536,0.107,0.449,0.126,-4.167,0.151,-6.439,0.112,17.518
91,139.782,126.428,4.222,19.300,0.537,1.108,1.020,2.128,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,129.240,115.886,3.320,28.800,1.164,2.448,2.077,4.526,matched,379433,273.477,-32.312,19.697,0.010,17.296,0.010,16.363,0.011,15.861,0.019,15.702,0.022,15.450,0.005,1.178,0.941,0.690,0.511,0.393,0.313,147985029,4045773778953119616,4045773778953119616,273.47676,0.087,-32.31165,0.079,-0.050,0.103,-3.717,0.111,-6.890,0.080,16.320
94,40.402,27.048,3.235,29.800,1.306,2.797,2.408,5.206,matched,364996,273.448,-32.245,19.652,0.004,17.203,0.003,16.210,0.015,15.770,0.001,15.481,0.003,15.297,0.002,1.275,1.018,0.747,0.553,0.425,0.339,147908587,4045777867762204288,4045777867762204288,273.44810,0.053,-32.24547,0.050,0.128,0.067,-4.087,0.066,-7.353,0.048,16.147
95,50.189,36.836,5.700,38.100,0.766,1.155,1.427,2.582,matched,327526,273.379,-32.142,20.123,0.012,17.580,0.006,15.572,0.009,13.266,0.002,11.987,0.018,11.377,0.008,1.479,1.181,0.866,0.641,0.493,0.393,147719368,4048781114984082560,4048781114984082560,273.37922,0.053,-32.14192,0.048,0.124,0.056,-3.576,0.065,-6.369,0.051,13.938
96,86.552,73.198,3.858,22.700,0.742,2.156,1.423,3.578,matched,333472,273.390,-32.018,20.116,0.000,18.179,0.000,17.230,0.004,16.785,0.007,16.507,0.000,16.312,0.000,1.917,1.530,1.123,0.831,0.639,0.509,147749821,4048787226661555968,4048787226661555968,273.39028,0.069,-32.01805,0.061,0.502,0.073,-3.299,0.086,-6.778,0.065,17.163
97,-162.008,-175.362,3.990,33.200,1.218,2.538,2.223,4.761,matched,328389,273.381,-32.225,19.776,0.013,17.137,0.003,15.992,0.012,15.470,0.003,15.155,0.044,14.913,0.003,1.366,1.091,0.800,0.592,0.456,0.363,147723988,4048780221630708736,4048780221630708736,273.38088,0.045,-32.22469,0.041,0.052,0.050,-4.589,0.058,-8.681,0.043,15.907
98,221.732,208.378,3.430,43.300,1.083,2.596,2.024,4.620,matched,347595,273.415,-32.081,19.480,0.000,16.926,0.000,15.810,0.004,15.279,0.001,14.910,0.008,14.678,0.003,1.537,1.227,0.900,0.666,0.513,0.408,147819456,4048783520165843328,4048783520165843328,273.41536,0.035,-32.08131,0.031,0.173,0.036,-4.521,0.045,-7.596,0.033,15.687
99,168.966,155.612,4.608,12.300,4.500,3.490,2.113,5.603,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9.044,-4.310,3.308,19.300,0.749,2.875,2.055,4.930,matched,342673,273.407,-32.016,20.435,0.008,18.160,0.010,17.036,0.010,16.481,0.008,16.170,0.006,15.951,0.003,1.959,1.564,1.148,0.849,0.654,0.520,147795467,4048787329772566272,4048787329772566272,273.40677,0.063,-32.01606,0.055,0.160,0.070,-3.301,0.077,-6.874,0.057,16.935
103,50.517,37.163,5.844,11.700,0.385,1.002,2.082,3.083,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,46.380,33.026,3.265,28.600,1.287,2.568,1.999,4.567,matched,323649,273.372,-32.324,19.958,0.001,17.557,0.001,16.554,0.008,16.098,0.002,15.852,0.015,15.613,0.001,1.463,1.168,0.857,0.634,0.488,0.389,147699305,4045770617856127744,4045770617856127744,273.37184,0.062,-32.32379,0.056,0.083,0.072,-3.926,0.080,-5.901,0.057,16.483
105,83.170,69.816,3.230,11.700,0.602,2.280,1.529,3.809,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,-43.824,-57.178,3.343,49.000,1.539,3.069,2.677,5.746,matched,309993,273.346,-32.324,19.896,0.006,16.298,0.002,14.824,0.003,13.673,0.006,13.106,0.018,15.903,0.009,1.470,1.174,0.861,0.637,0.490,0.390,147629826,4045771334983937536,4045771334983937536,273.34603,0.026,-32.32371,0.023,0.053,0.029,-3.807,0.034,-8.354,0.024,14.315
107,26.540,13.186,3.271,31.000,1.294,2.744,2.020,4.765,matched,322568,273.370,-32.269,19.961,0.013,17.246,0.001,16.203,0.019,15.725,0.007,15.417,0.007,15.209,0.002,1.730,1.381,1.014,0.750,0.577,0.460,147693796,4045777592884406272,4045777592884406272,273.36985,0.048,-32.26928,0.042,0.263,0.054,-4.550,0.061,-6.025,0.043,16.083
108,-66.306,-79.660,3.643,25.700,1.166,2.498,1.943,4.441,matched,309420,273.345,-32.269,20.148,0.021,17.687,0.015,16.622,0.006,16.109,0.028,15.847,0.012,15.636,0.007,1.653,1.320,0.968,0.717,0.552,0.439,147626982,4045777627244193792,4045777627244193792,273.34499,0.060,-32.26948,0.053,-0.053,0.065,-4.404,0.079,-7.918,0.057,16.544
109,64.958,51.604,3.264,31.800,1.333,2.720,2.283,5.003,matched,306660,273.340,-32.122,19.845,0.009,17.294,0.001,16.200,0.010,15.647,0.005,15.332,0.013,15.106,0.003,1.597,1.275,0.936,0.693,0.533,0.424,147612854,4048782111416619008,4048782111416619008,273.33993,0.050,-32.12234,0.043,0.060,0.056,-4.719,0.065,-6.621,0.049,16.083
110,93.714,80.361,3.662,20.600,1.182,2.504,1.642,4.146,matched,291598,273.312,-32.152,21.003,0.026,18.439,0.008,17.306,0.039,16.731,0.033,16.335,0.025,16.120,0.007,1.576,1.258,0.923,0.683,0.526,0.419,147535193,4048781591663872512,4048781591663872512,273.31198,0.074,-32.15174,0.066,0.200,0.080,-4.576,0.100,-7.945,0.076,17.139
111,-152.154,-165.507,3.450,33.700,1.255,2.660,2.171,4.831,matched,316101,273.358,-32.002,20.186,0.000,17.486,0.006,16.305,0.012,15.779,0.014,15.394,0.001,15.182,0.001,1.776,1.418,1.040,0.770,0.592,0.472,147660915,4048787535930734464,4048787535930734464,273.35773,0.045,-32.00173,0.040,0.151,0.049,-3.387,0.056,-6.968,0.043,16.223
112,245.282,231.928,4.019,59.800,1.591,3.279,2.823,6.102,matched,313141,273.352,-32.195,19.378,0.010,15.486,0.002,13.969,0.014,12.980,0.002,12.513,0.110,12.241,0.138,1.308,1.044,0.766,0.567,0.436,0.348,147645671,4048780496508726784,4048780496508726784,273.35193,0.019,-32.19505,0.017,0.104,0.021,-4.125,0.024,-6.818,0.018,13.569
113,-5.532,-18.886,3.983,22.200,1.212,2.474,1.886,4.360,matched,311388,273.349,-32.148,20.715,0.019,18.296,0.011,17.240,0.022,16.684,0.014,16.368,0.014,16.195,0.006,1.475,1.177,0.864,0.639,0.492,0.392,147636745,4048781729104699520,4048781729104699520,273.34856,0.091,-32.14848,0.087,0.300,0.098,-4.667,0.109,-6.695,0.085,17.166
115,151.400,138.046,3.799,41.800,1.622,3.141,2.146,5.287,matched,265520,273.264,-32.050,20.133,0.020,16.395,0.010,14.818,0.013,13.487,0.005,14.075,1.101,15.672,0.061,1.618,1.292,0.948,0.702,0.540,0.430,147403224,4048786298948505216,4048786298948505216,273.26365,0.021,-32.04971,0.018,0.092,0.025,-4.052,0.027,-6.992,0.020,14.184
116,86.397,73.043,4.463,43.800,1.281,2.286,1.920,4.206,matched,282378,273.295,-31.962,19.999,0.005,16.974,0.002,15.770,0.002,15.158,0.004,14.818,0.002,14.594,0.001,1.627,1.299,0.953,0.705,0.543,0.432,147488604,4048788257453922304,4048788257453922304,273.29493,0.084,-31.96174,0.075,0.222,0.098,-4.077,0.100,-6.530,0.072,15.669
117,-172.146,-185.499,3.632,32.000,1.223,2.548,2.200,4.748,matched,300623,273.329,-32.081,19.980,0.011,17.512,0.000,16.437,0.001,15.919,0.002,15.586,0.001,15.393,0.002,1.469,1.172,0.860,0.637,0.490,0.390,147581544,4048785169433442944,4048785169433442944,273.32871,0.048,-32.08135,0.041,0.091,0.051,-4.730,0.059,-7.832,0.044,16.340
118,-143.237,-156.591,3.304,53.400,1.245,2.934,2.305,5.239,matched,268820,273.270,-32.106,19.539,0.011,16.454,0.008,16.867,0.021,14.303,0.004,13.958,0.009,13.722,0.009,1.590,1.270,0.932,0.690,0.531,0.422,147420338,4048785272512723584,4048785272512723584,273.26993,0.027,-32.10610,0.023,0.161,0.030,-3.372,0.036,-5.875,0.026,14.910
119,148.843,135.489,3.600,37.000,1.495,3.159,2.635,5.794,matched,263844,273.260,-32.217,20.261,0.015,16.856,0.003,15.554,0.003,14.896,0.004,14.556,0.024,14.296,0.012,1.779,1.420,1.042,0.771,0.593,0.473,147394381,4048775303831423360,4048775303831423360,273.26035,0.034,-32.21733,0.029,0.120,0.035,-4.726,0.043,-6.116,0.032,15.382
120,151.356,138.003,3.314,32.600,1.032,2.394,1.801,4.195,matched,271827,273.276,-32.140,19.414,0.002,17.157,0.005,16.158,0.012,15.599,0.019,15.334,0.015,15.147,0.007,1.683,1.343,0.986,0.730,0.561,0.447,147435894,4048784585317860352,4048784585317860352,273.27553,0.042,-32.14043,0.037,0.176,0.048,-3.364,0.052,-7.916,0.039,16.053
121,225.471,212.117,7.190,26.700,0.223,1.285,1.129,2.414,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,18.711,5.357,3.490,25.300,0.725,1.406,1.054,2.461,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,26.562,13.209,3.999,22.800,1.343,3.039,2.284,5.322,matched,297361,273.323,-32.028,20.506,0.230,18.205,0.026,17.100,0.005,16.547,0.004,16.260,0.001,16.027,0.005,1.555,1.241,0.911,0.674,0.519,0.413,147564813,4048787127893431552,4048787127893431552,273.32265,0.069,-32.02769,0.061,-0.005,0.079,-4.405,0.081,-6.756,0.063,17.023
125,45.476,32.123,4.115,27.600,1.004,2.092,1.602,3.694,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,152.451,139.097,3.286,29.200,1.087,2.549,2.317,4.866,matched,234759,273.201,-32.191,20.486,0.011,17.718,0.015,16.613,0.011,16.015,0.025,15.742,0.029,15.455,0.003,1.831,1.462,1.072,0.794,0.611,0.486,147232274,4048778503642720512,4048778503642720512,273.20106,0.051,-32.19057,0.045,0.053,0.058,-3.681,0.065,-7.743,0.048,16.477
127,134.106,120.752,4.794,16.600,0.922,2.021,1.880,3.901,matched,291142,273.311,-32.016,20.501,0.000,18.219,0.001,17.276,0.014,16.881,0.014,16.582,0.005,16.409,0.000,1.555,1.241,0.911,0.674,0.519,0.413,147532761,4048787883852974720,4048787883852974720,273.31110,0.169,-32.01555,0.139,0.632,0.180,-4.440,0.191,-6.665,0.147,17.270
128,-59.224,-72.577,4.033,34.700,0.777,2.149,1.910,4.059,matched,253060,273.238,-32.105,19.605,0.009,17.221,0.005,16.147,0.001,15.552,0.004,15.218,0.005,14.992,0.002,1.603,1.280,0.939,0.695,0.535,0.426,147334573,4048784928915410048,4048784928915410048,273.23804,0.044,-32.10533,0.040,0.068,0.054,-3.848,0.054,-7.646,0.041,16.009
131,22.422,9.068,7.503,10.800,0.360,2.197,1.660,3.857,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,-75.262,-88.616,4.774,22.400,0.642,1.539,1.194,2.733,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,38.405,25.051,3.245,17.200,1.493,2.742,2.312,5.053,matched,228087,273.188,-32.130,20.207,0.012,17.730,0.009,16.602,0.010,16.023,0.027,15.756,0.023,15.513,0.010,1.388,1.108,0.813,0.602,0.463,0.369,147195488,4048779740593574272,4048779740593574272,273.18805,0.093,-32.13015,0.083,0.133,0.107,-4.241,0.118,-7.632,0.094,16.521
135,-284.835,-298.188,3.512,17.400,1.053,2.680,2.210,4.890,matched,246380,273.224,-32.102,19.893,0.010,17.365,0.012,16.363,0.003,15.790,0.011,15.502,0.001,15.299,0.005,1.554,1.240,0.910,0.674,0.518,0.413,147296905,4048785684829695872,4048785684829695872,273.22421,0.045,-32.10236,0.040,0.064,0.053,-4.631,0.055,-8.593,0.043,16.242
136,51.993,38.639,3.364,17.300,1.474,2.716,2.218,4.934,matched,181982,273.099,-32.219,19.891,0.009,17.243,0.011,16.203,0.009,15.751,0.003,15.416,0.004,15.232,0.009,1.459,1.164,0.854,0.632,0.487,0.387,146942027,4048777541570282624,4048777541570282624,273.09868,0.053,-32.21943,0.044,0.045,0.064,-3.912,0.058,-6.289,0.043,16.136
138,32.166,18.813,3.301,18.100,1.481,3.051,2.336,5.387,matched,269320,273.271,-32.002,20.185,0.017,17.125,0.000,15.884,0.010,15.289,0.006,14.940,0.013,14.720,0.004,1.727,1.379,1.012,0.749,0.576,0.459,147422880,4048788090011550848,4048788090011550848,273.27081,0.039,-32.00245,0.034,0.094,0.041,-4.999,0.047,-6.095,0.037,15.776
139,185.517,172.163,4.885,12.800,0.549,1.542,1.165,2.707,matched,238897,273.209,-32.061,20.093,0.020,18.320,0.005,17.423,0.010,16.966,0.008,16.700,0.009,16.510,0.005,1.642,1.311,0.962,0.712,0.548,0.436,147255567,4048786058431832192,4048786058431832192,273.20935,0.090,-32.06093,0.083,0.064,0.094,-4.240,0.106,-6.983,0.083,17.394
142,-203.941,-217.294,4.050,18.200,0.497,1.534,1.403,2.937,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,121.416,108.063,3.809,15.100,1.182,2.645,1.569,4.215,matched,238935,273.209,-32.035,20.694,0.015,18.425,0.049,17.413,0.037,16.924,0.038,16.631,0.017,16.414,0.013,1.609,1.284,0.942,0.698,0.537,0.427,147255742,4048798191777927040,4048798191777927040,273.20941,0.106,-32.03499,0.097,-0.036,0.128,-4.577,0.125,-7.789,0.095,17.393
144,131.717,118.363,3.323,18.800,1.041,2.240,2.034,4.274,matched,243367,273.218,-32.011,20.609,0.000,18.072,0.002,16.934,0.005,16.416,0.001,16.077,0.003,15.853,0.002,1.533,1.224,0.898,0.665,0.511,0.407,147280224,4048798397894903424,4048798397894903424,273.21821,0.079,-32.01059,0.071,-0.124,0.092,-4.552,0.093,-6.636,0.070,16.834
145,-20.623,-33.977,3.343,19.600,1.096,2.554,2.064,4.618,matched,252524,273.237,-32.026,19.383,0.008,16.847,0.001,15.790,0.015,15.286,0.013,15.016,0.001,14.769,0.023,1.692,1.351,0.991,0.734,0.564,0.450,147331475,4048786578183085440,4048786578183085440,273.23689,0.037,-32.02638,0.036,0.169,0.047,-4.364,0.047,-7.244,0.035,15.720
147,27.482,14.129,3.206,20.700,1.053,2.859,2.313,5.171,matched,95430,273.070,-32.195,20.252,0.007,17.320,0.006,16.139,0.013,15.578,0.006,15.201,0.013,14.998,0.008,1.673,1.335,0.980,0.725,0.558,0.444,113858103,4048777782088656000,4048777782088656000,273.07026,0.051,-32.19470,0.042,0.060,0.057,-5.086,0.056,-6.805,0.043,16.051
148,121.220,107.867,3.605,18.700,1.001,2.660,2.383,5.043,matched,229210,273.190,-32.014,20.144,0.012,17.338,0.003,16.273,0.004,15.767,0.001,15.496,0.003,15.281,0.004,1.478,1.180,0.866,0.641,0.493,0.393,147201933,4048798466655960192,4048798466655960192,273.19030,0.043,-32.01410,0.039,0.043,0.053,-3.943,0.054,-8.096,0.040,16.180
149,-29.344,-42.697,4.450,13.200,0.912,1.028,0.796,1.824,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,123.392,110.038,3.657,21.600,1.206,3.021,2.521,5.542,matched,91078,273.060,-32.103,19.816,0.008,17.013,0.015,15.948,0.007,15.485,0.011,15.218,0.020,14.971,0.010,1.537,1.227,0.900,0.666,0.513,0.408,113830721,4048792281900872704,4048792281900872704,273.06032,0.043,-32.10324,0.038,0.158,0.052,-3.429,0.049,-6.403,0.038,15.895
152,-145.636,-158.989,3.211,21.400,1.155,2.629,1.981,4.610,matched,69254,273.015,-32.124,19.463,0.012,16.842,0.011,15.777,0.018,15.247,0.004,14.927,0.013,14.697,0.003,1.171,0.935,0.686,0.508,0.391,0.311,113701351,4048790731384132608,4048790731384132608,273.01537,0.041,-32.12389,0.038,0.126,0.049,-4.143,0.051,-6.417,0.038,15.656
153,-17.259,-30.612,4.013,17.500,1.475,2.686,2.076,4.762,matched,202560,273.139,-32.080,20.194,0.004,17.413,0.003,16.136,0.006,15.574,0.002,15.219,0.001,14.894,0.002,1.495,1.194,0.876,0.648,0.499,0.397,147057316,4048791835224065792,4048791835224065792,273.13922,0.052,-32.07994,0.045,-0.061,0.063,-4.868,0.065,-7.219,0.047,16.067
154,-22.221,-35.575,3.736,8.300,1.646,2.632,2.540,5.173,matched,296832,273.322,-31.891,20.185,0.002,16.559,0.020,14.989,0.000,13.462,0.002,12.745,0.000,12.389,0.000,1.475,1.178,0.864,0.640,0.492,0.392,147562114,4048894467809153024,4048894467809153024,273.32169,0.022,-31.89059,0.018,0.079,0.025,-3.547,0.028,-6.964,0.019,14.195
156,-147.324,-160.678,3.918,15.400,1.064,2.535,2.165,4.700,matched,62546,273.001,-32.111,19.556,0.010,17.020,0.009,16.038,0.011,15.607,0.016,15.311,0.021,15.118,0.007,1.099,0.877,0.644,0.476,0.366,0.292,113660380,4048790941871295104,4048790941871295104,273.00123,0.055,-32.11066,0.051,0.053,0.069,-3.821,0.067,-7.076,0.051,16.000
157,52.745,39.391,5.653,11.900,1.414,3.066,2.027,5.093,matched,202931,273.140,-32.004,20.742,0.004,18.377,0.007,17.251,0.030,16.772,0.016,16.448,0.012,16.226,0.008,1.565,1.249,0.917,0.678,0.522,0.416,147059383,4048798947692493056,4048798947692493056,273.13994,0.088,-32.00405,0.080,0.161,0.103,-3.236,0.116,-7.295,0.087,17.185
158,34.527,21.173,4.202,15.400,1.147,4.087,1.970,6.057,matched,285364,273.300,-31.887,20.755,0.011,18.271,0.001,17.162,0.000,16.660,0.003,16.368,0.014,16.131,0.005,1.382,1.103,0.809,0.599,0.461,0.367,147503521,4048800906198465408,4048800906198465408,273.30043,0.078,-31.88722,0.068,-0.121,0.090,-4.218,0.096,-6.782,0.071,17.091
159,-66.800,-80.154,4.034,13.400,1.161,2.648,2.228,4.876,matched,232821,273.197,-31.935,20.825,0.012,18.176,0.132,16.977,0.056,16.490,0.000,16.586,0.282,15.967,0.000,1.535,1.226,0.899,0.666,0.512,0.408,147221687,4048801009276856192,4048801009276856192,273.19729,0.062,-31.93531,0.058,0.060,0.077,-3.749,0.081,-6.416,0.059,16.884
160,129.341,115.987,3.655,14.000,1.021,2.336,1.911,4.247,matched,273624,273.279,-31.947,20.812,0.023,18.371,0.040,17.322,0.007,16.780,0.009,16.475,0.012,16.281,0.002,1.610,1.286,0.943,0.698,0.537,0.428,147445033,4048800081563621376,4048800081563621376,273.27889,0.093,-31.94669,0.083,0.041,0.104,-4.561,0.113,-6.769,0.084,17.250
162,51.749,38.395,3.413,12.400,0.740,1.035,0.917,1.951,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,-193.857,-207.210,6.116,19.800,0.577,1.391,1.686,3.077,matched,244281,273.220,-31.901,19.981,0.006,17.519,0.000,16.514,0.007,16.043,0.009,15.728,0.011,15.542,0.002,1.491,1.190,0.873,0.646,0.497,0.396,147285384,4048801382874157696,4048801382874157696,273.22006,0.053,-31.90071,0.046,0.161,0.060,-4.920,0.062,-7.100,0.046,16.424
164,118.327,104.973,6.111,15.300,1.174,2.286,2.202,4.488,matched,182067,273.099,-31.985,20.634,0.010,18.124,0.011,16.997,0.034,16.532,0.004,16.218,0.016,15.994,0.010,1.425,1.137,0.835,0.618,0.475,0.378,146942445,4048799119491376896,4048799119491376896,273.09881,0.072,-31.98548,0.065,0.113,0.087,-3.978,0.093,-6.440,0.070,16.977
165,-152.559,-165.913,5.189,10.800,0.258,0.792,0.616,1.408,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,-120.251,-133.605,5.277,15.700,1.083,3.563,2.239,5.802,matched,62759,273.002,-31.990,19.362,0.003,16.704,0.016,15.675,0.020,15.281,0.056,15.094,0.013,14.792,0.015,1.046,0.835,0.613,0.454,0.349,0.278,113661763,4048796370711215488,4048796370711215488,273.00171,0.073,-31.99049,0.064,0.026,0.084,-3.392,0.086,-6.831,0.062,15.759
167,200.753,187.400,8.496,16.500,0.533,3.353,2.074,5.427,matched,216060,273.165,-31.943,19.910,0.013,17.418,0.011,16.361,0.008,15.855,0.023,15.562,0.022,15.327,0.006,1.623,1.295,0.950,0.704,0.541,0.431,147130722,4048799699249976192,4048799699249976192,273.16485,0.047,-31.94280,0.042,0.114,0.055,-3.784,0.060,-8.808,0.046,16.254
168,9.919,-3.435,3.219,17.100,1.513,2.718,2.318,5.036,matched,53778,272.981,-32.011,19.792,0.005,17.317,0.001,16.354,0.001,15.962,0.002,15.693,0.008,15.530,0.004,1.095,0.874,0.641,0.475,0.365,0.291,113604166,4048795954064047104,4048795954064047104,272.98120,0.051,-32.01118,0.046,0.119,0.060,-4.884,0.060,-7.669,0.045,16.315
169,174.939,161.585,3.527,28.900,1.333,3.494,2.655,6.149,matched,24409,272.912,-32.028,18.960,0.012,15.335,0.010,13.998,0.006,13.272,0.004,12.859,0.031,12.556,0.009,1.013,0.808,0.593,0.439,0.338,0.269,113401572,4048795339918711808,4048795339918711808,272.91212,0.024,-32.02840,0.022,0.083,0.026,-3.341,0.031,-7.697,0.023,13.775
170,22.001,8.647,6.755,14.200,2.010,2.789,1.884,4.674,matched,203002,273.140,-31.809,20.533,0.004,18.064,0.001,16.926,0.014,16.369,0.016,16.029,0.001,15.817,0.003,1.605,1.281,0.940,0.696,0.535,0.426,147059839,4048805574806155392,4048805574806155392,273.14011,0.062,-31.80930,0.055,0.126,0.065,-3.911,0.079,-7.254,0.059,16.820
171,142.880,129.526,3.905,19.700,1.109,2.806,2.251,5.056,matched,13278,272.880,-32.029,19.406,0.007,16.759,0.006,15.775,0.017,15.381,0.006,15.092,0.006,14.943,0.009,0.975,0.779,0.571,0.423,0.325,0.259,113309386,4048795266840323072,4048795266840323072,272.88038,0.042,-32.02922,0.038,0.107,0.047,-3.177,0.055,-6.398,0.042,15.727
172,129.786,116.432,6.203,14.100,0.801,2.269,1.680,3.949,matched,171659,273.078,-31.947,20.236,0.015,18.105,0.005,17.046,0.017,16.617,0.037,16.389,0.044,16.156,0.019,1.183,0.944,0.693,0.513,0.394,0.314,146882859,4048802452386198400,4048802452386198400,273.07753,0.068,-31.94672,0.064,-0.065,0.082,-3.785,0.088,-6.460,0.065,17.054
173,46.482,33.128,4.411,14.300,0.989,1.821,1.485,3.306,matched,663056,273.248,-31.780,18.193,0.184,17.222,0.164,16.450,0.173,16.209,0.105,16.034,0.001,15.570,0.007,1.750,1.397,1.025,0.759,0.584,0.465,152146365,4048899102013036672,4048899102013036672,273.24782,0.051,-31.77981,0.044,0.061,0.059,-2.484,0.064,-1.881,0.046,16.498
174,-90.041,-103.395,3.951,21.200,0.747,2.869,2.205,5.074,matched,197965,273.130,-31.938,19.643,0.011,16.996,0.008,15.901,0.023,15.387,0.005,15.097,0.036,14.838,0.008,1.456,1.162,0.853,0.631,0.486,0.387,147031670,4048802619824636672,4048802619824636672,273.13039,0.039,-31.93839,0.036,0.107,0.046,-3.275,0.050,-8.822,0.037,15.815
175,159.924,146.571,4.757,21.400,1.028,2.705,2.115,4.819,matched,23095,272.909,-31.993,19.175,0.010,16.616,0.011,15.647,0.010,15.239,0.005,15.012,0.001,14.843,0.014,0.973,0.777,0.570,0.422,0.325,0.259,113391770,4048843821524249600,4048843821524249600,272.90862,0.039,-31.99327,0.035,0.095,0.042,-3.388,0.047,-7.332,0.036,15.596
176,-34.168,-47.521,4.232,23.800,1.527,3.212,2.754,5.966,matched,8026,272.863,-31.997,19.031,0.013,15.319,0.009,13.896,0.001,12.999,0.001,12.460,0.001,15.521,0.118,0.872,0.696,0.511,0.378,0.291,0.232,113258326,4048842374041756160,4048842374041756160,272.86300,0.022,-31.99682,0.019,0.034,0.023,-4.117,0.027,-7.419,0.021,13.552
177,-74.269,-87.623,4.294,20.900,0.494,3.328,1.858,5.186,matched,220883,273.174,-31.823,19.644,0.031,17.864,0.006,16.964,0.001,16.521,0.000,16.237,0.002,16.055,0.002,1.595,1.273,0.934,0.692,0.532,0.424,147155798,4048805132446575488,4048805132446575488,273.17392,0.076,-31.82345,0.067,0.213,0.086,-4.084,0.096,-6.954,0.070,16.898
178,16.060,2.706,3.478,23.200,1.278,2.703,2.130,4.833,matched,20215,272.901,-31.969,19.286,0.008,16.470,0.017,15.407,0.006,14.953,0.003,14.643,0.003,14.440,0.019,1.021,0.815,0.598,0.443,0.341,0.271,113369476,4048843924603640448,4048843924603640448,272.90076,0.039,-31.96888,0.038,0.148,0.047,-3.354,0.047,-6.635,0.040,15.319
179,55.948,42.594,4.016,14.800,1.341,2.781,1.917,4.698,matched,186612,273.108,-31.925,20.282,0.029,17.667,0.008,16.586,0.019,16.063,0.010,15.711,0.000,15.501,0.011,1.336,1.067,0.783,0.579,0.446,0.355,146967934,4048802864661876352,4048802864661876352,273.10796,0.051,-31.92489,0.047,0.150,0.060,-3.655,0.065,-6.015,0.048,16.468
180,-43.526,-56.880,4.693,13.300,0.525,1.956,1.303,3.259,matched,327571,273.379,-31.828,18.931,0.028,17.656,0.343,16.905,0.090,16.926,0.002,16.691,0.033,16.342,0.117,1.558,1.244,0.913,0.676,0.520,0.414,147719632,4048895257982721920,4048895257982721920,273.37933,0.113,-31.82799,0.100,0.331,0.128,-3.846,0.142,-7.402,0.106,17.191
181,22.319,8.966,4.728,14.900,1.625,2.701,2.153,4.854,matched,184828,273.104,-31.914,20.157,0.032,17.602,0.002,16.521,0.016,16.061,0.000,15.711,0.000,15.504,0.001,1.312,1.048,0.769,0.569,0.438,0.349,146957584,4048802894702617728,4048802894702617728,273.10426,0.050,-31.91381,0.047,0.185,0.060,-3.219,0.066,-7.541,0.050,16.458
182,25.485,12.131,6.838,13.600,2.363,1.922,1.426,3.348,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
