fiberid,RVraw,RV,e_RV,S/N,CaT1,CaT2,CaT3,SumEW23,BDBS_match,n6569_oid,radeg,decdeg,umag,uerr,gmag,gerr,rmag,rerr,imag,ierr,zmag,zerr,ymag,yerr,Au,Ag,Ar,Ai,Az,Ay,bdbs_id,gaia_id,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag
14,121.808,108.454,6.138,22.600,1.618,3.689,2.633,6.322,matched,511980,273.749,-31.901,20.784,0.056,18.263,0.000,17.119,0.003,16.537,0.037,16.190,0.001,16.032,0.002,1.772,1.415,1.038,0.769,0.591,0.471,148698867,4045883077210370304,4045883077210370304,273.74878,0.084,-31.90075,0.075,0.061,0.080,-4.294,0.101,-6.419,0.079,17.031
15,36.385,23.031,3.692,27.100,1.603,3.393,2.651,6.044,matched,488101,273.697,-31.933,20.085,0.014,17.366,0.010,16.186,0.015,15.493,0.010,15.229,0.001,15.023,0.034,1.779,1.420,1.042,0.772,0.594,0.473,148563541,4045877231741739648,4045877231741739648,273.69697,0.052,-31.93336,0.045,0.216,0.053,-4.650,0.065,-7.963,0.047,16.050
16,147.522,134.168,3.792,27.400,0.733,2.819,2.153,4.971,matched,518362,273.764,-31.859,20.380,0.000,17.769,0.011,16.524,0.003,15.973,0.003,15.563,0.028,15.389,0.020,1.594,1.273,0.934,0.691,0.532,0.423,148738138,4045883760046399872,4045883760046399872,273.76393,0.063,-31.85899,0.055,0.069,0.066,-4.784,0.076,-8.370,0.057,16.465
17,266.214,252.860,3.259,32.400,1.462,3.089,2.665,5.754,matched,549424,273.853,-31.939,19.551,0.007,16.702,0.002,15.622,0.006,15.075,0.001,14.754,0.008,14.560,0.009,1.332,1.064,0.780,0.578,0.444,0.354,148964098,4045879465078824064,4045879465078824064,273.85325,0.037,-31.93853,0.030,0.027,0.040,-3.459,0.045,-6.920,0.033,15.505
18,-34.184,-47.537,3.538,16.800,0.672,1.978,1.527,3.505,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-35.374,-48.728,3.255,29.100,1.168,2.706,2.029,4.735,matched,396717,273.512,-31.871,20.270,0.002,17.701,0.003,16.644,0.002,16.124,0.003,15.776,0.000,15.605,0.005,1.770,1.413,1.037,0.768,0.590,0.470,148076970,4048883708806719872,4048883708806719872,273.51158,0.053,-31.87139,0.045,0.103,0.056,-4.175,0.066,-7.402,0.049,16.540
20,-72.183,-85.536,3.805,24.100,1.398,3.070,2.641,5.711,matched,471477,273.663,-31.902,20.834,0.012,18.187,0.002,17.035,0.002,16.434,0.014,16.075,0.006,15.882,0.001,1.825,1.457,1.069,0.791,0.609,0.485,148474739,4048879796198031488,4048879796198031488,273.66262,0.069,-31.90217,0.060,0.143,0.072,-3.493,0.084,-7.766,0.062,16.909
21,52.223,38.869,3.616,24.400,1.169,2.577,1.994,4.571,matched,503934,273.730,-31.905,20.481,0.004,18.026,0.019,16.883,0.008,16.305,0.001,15.928,0.018,15.704,0.003,1.777,1.418,1.041,0.770,0.593,0.472,148651053,4045883244652619904,4045883244652619904,273.73016,0.099,-31.90527,0.088,0.087,0.106,-3.833,0.122,-6.852,0.097,16.881
22,-34.699,-48.052,3.963,23.100,1.431,2.971,2.159,5.130,matched,327247,273.379,-31.974,20.641,0.000,18.107,0.003,17.014,0.009,16.459,0.000,16.166,0.019,15.915,0.002,1.899,1.516,1.113,0.824,0.634,0.504,147717824,4048787712010611840,4048787712010611840,273.37867,0.064,-31.97422,0.058,0.151,0.073,-3.809,0.078,-6.852,0.060,16.914
23,223.566,210.212,3.548,28.600,1.392,2.850,2.388,5.238,matched,518604,273.765,-31.959,20.104,0.000,17.433,0.001,16.326,0.004,15.763,0.007,15.387,0.037,15.261,0.000,1.805,1.441,1.057,0.783,0.602,0.479,148739678,4045882046477355264,4045882046477355264,273.76451,0.057,-31.95945,0.049,0.285,0.061,-3.373,0.070,-7.586,0.051,16.251
24,7.369,-5.985,3.308,17.500,1.213,2.478,2.186,4.664,matched,464124,273.647,-32.022,20.406,0.002,18.294,0.001,17.308,0.033,16.816,0.025,16.533,0.007,16.366,0.010,2.149,1.716,1.259,0.932,0.717,0.571,148434876,4045876342759202176,4045876342759202176,273.64723,0.085,-32.02231,0.074,0.582,0.087,-4.563,0.106,-7.572,0.079,17.241
25,147.191,133.838,4.243,19.500,1.286,3.568,2.458,6.026,matched,459186,273.637,-31.875,20.800,0.009,17.964,0.001,16.808,0.006,16.197,0.028,15.848,0.001,15.664,0.003,1.892,1.510,1.108,0.820,0.631,0.502,148408443,4048880822591399168,4048880822591399168,273.63714,0.066,-31.87529,0.056,0.131,0.066,-3.244,0.081,-8.334,0.057,16.693
28,38.646,25.293,3.233,62.800,1.748,3.528,2.938,6.466,matched,550481,273.857,-31.999,19.031,0.001,15.470,0.001,14.120,0.002,13.378,0.007,12.948,0.001,12.711,0.003,1.089,0.869,0.638,0.472,0.363,0.289,148972608,4045878606085163648,4045878606085163648,273.85706,0.022,-31.99849,0.018,0.146,0.025,-4.865,0.028,-6.264,0.020,13.907
29,190.816,177.462,3.223,32.000,1.360,3.186,2.966,6.152,matched,560826,273.894,-32.032,19.510,0.011,16.706,0.002,15.600,0.027,15.202,0.002,14.912,0.007,14.723,0.000,1.113,0.888,0.652,0.482,0.371,0.296,149065660,4045877575292900864,4045877575292900864,273.89444,0.036,-32.03180,0.031,0.095,0.041,-3.484,0.042,-6.124,0.033,15.593
30,82.483,69.130,3.442,27.000,1.376,3.018,2.537,5.555,matched,535100,273.807,-31.960,19.830,0.013,17.382,0.012,16.365,0.006,15.866,0.007,15.552,0.011,15.349,0.004,1.443,1.152,0.845,0.626,0.481,0.383,148849004,4045881909037907584,4045881909037907584,273.80700,0.051,-31.95963,0.045,0.139,0.061,-4.750,0.060,-7.204,0.046,16.268
31,-37.234,-50.588,4.039,32.300,1.312,2.790,2.467,5.256,matched,562702,273.902,-32.056,19.494,0.011,16.975,0.000,16.011,0.005,15.549,0.002,15.331,0.002,15.138,0.000,1.052,0.840,0.616,0.456,0.351,0.279,149084444,4045865755542818688,4045865755542818688,273.90183,0.042,-32.05619,0.036,0.121,0.048,-4.747,0.050,-7.369,0.038,15.952
32,43.515,30.161,3.428,28.700,1.554,2.802,2.621,5.423,matched,509301,273.742,-31.963,20.140,0.022,17.163,0.001,15.974,0.010,15.369,0.006,14.994,0.027,14.817,0.000,1.728,1.379,1.012,0.749,0.576,0.459,148682641,4045882080784870912,4045882080784870912,273.74248,0.042,-31.96335,0.035,0.063,0.045,-4.192,0.053,-6.799,0.038,15.834
33,-73.055,-86.409,4.883,22.100,1.295,2.367,1.658,4.025,matched,487196,273.695,-31.971,20.246,0.039,18.133,0.002,17.090,0.001,16.485,0.008,16.167,0.023,16.006,0.036,1.713,1.367,1.003,0.743,0.571,0.455,148558766,4045876892515035264,4045876892515035264,273.69521,0.074,-31.97140,0.062,0.239,0.074,-3.452,0.088,-7.532,0.065,16.917
34,-74.187,-87.540,4.094,18.300,1.232,2.585,2.122,4.708,matched,479107,273.678,-32.017,20.593,0.004,18.268,0.009,17.099,0.029,16.488,0.003,16.106,0.002,15.904,0.026,1.914,1.528,1.121,0.830,0.639,0.509,148514605,4045875621153952512,4045875621153952512,273.67848,0.069,-32.01675,0.060,0.223,0.070,-4.630,0.087,-6.643,0.064,16.973
36,118.431,105.077,5.651,35.600,1.750,3.337,2.244,5.580,matched,511365,273.747,-32.015,20.386,0.027,17.483,0.013,16.189,0.001,15.568,0.002,15.169,0.000,14.967,0.017,1.714,1.368,1.004,0.743,0.572,0.455,148695233,4045875719867091328,4045875719867091328,273.74737,0.045,-32.01516,0.037,0.135,0.047,-4.904,0.054,-7.498,0.039,16.072
