fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,photometry_ok,gaia_ok,phot_g_mean_mag,i0,g0,r0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeH_avg_SP,FeH_stddex_SP,aFe_adopted,e_aFe_adopted,aFe_source,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_agreement,chem_window_adopted,high_alpha_window,table_use_flag
183,272.966,-31.924,4048844504345757056,113561108,47034,True,True,15.748,15.0110,16.1780,15.2920,-5.117,0.050,-6.634,0.038,0.143,0.044,-37.561,5.268,15.100,usable,True,1.627,2.948,2.488,5.436,4393.5,113.0,2.555,0.402,-0.719,0.094,SP_Ace+CaT_DP_consensus,-0.747,0.094,-0.7,0.088,0.12,0.297,SP_Ace,modeled,True,6.0,2.049,consistent,True,False,secondary
215,272.872,-31.686,4048856843828376960,120740153,101776,True,True,16.303,14.9220,16.2540,18.2960,-3.947,0.065,-6.084,0.049,0.129,0.061,-45.218,3.626,14.600,weak,True,1.686,2.613,2.061,4.674,4820.5,335.3,2.944,0.794,-0.889,0.129,SP_Ace+CaT_DP_consensus,-0.955,0.109,-0.701,0.255,0.311,0.427,SP_Ace,modeled,False,5.0,3.968,check,True,True,caution
221,272.873,-31.661,4048868693597720704,120742619,101870,True,True,14.979,13.8740,15.1240,14.1940,-4.742,0.037,-7.501,0.026,0.083,0.030,-57.074,3.368,18.900,usable,True,1.542,3.202,2.575,5.777,4190.5,205.7,1.851,0.399,-0.895,0.094,SP_Ace+CaT_DP_consensus,-0.825,0.072,-0.94,0.092,0.351,0.259,SP_Ace,modeled,True,6.0,0.404,check,True,True,secondary
237,273.054,-31.607,4048951917301978496,121430931,160725,True,True,16.167,15.0820,16.2920,15.4210,-3.953,0.124,-6.662,0.086,-0.144,0.115,-35.333,4.099,19.100,usable,True,1.418,2.581,2.216,4.797,4443.0,100.0,2.733,0.721,-1.008,0.094,SP_Ace+CaT_DP_consensus,-0.943,0.04,-1.05,0.107,0.451,0.28,SP_Ace,modeled,True,6.0,0.54,check,True,True,secondary
261,273.168,-31.516,4048953974548881664,151835905,623521,True,True,16.708,15.4060,16.4910,18.3700,-4.819,0.070,-6.766,0.051,0.153,0.058,-43.488,4.068,15.000,usable,True,1.169,2.656,2.063,4.718,4695.0,185.8,2.131,0.618,-0.977,0.113,SP_Ace+CaT_DP_consensus,-0.921,0.023,-1.049,0.171,0.432,0.407,SP_Ace,modeled,True,5.0,0.378,check,True,True,secondary
275,273.203,-31.415,4048961464890278016,151972533,640915,True,True,15.838,14.7930,15.7930,15.0150,-4.665,0.046,-6.801,0.033,0.083,0.044,-35.203,3.862,15.900,usable,True,1.479,3.003,2.404,5.408,4639.0,116.4,2.719,0.448,-0.604,0.094,SP_Ace+CaT_DP_consensus,-0.767,0.056,-0.5,0.097,0.103,0.34,SP_Ace,modeled,True,6.0,0.509,consistent,True,False,secondary
285,273.371,-31.649,4048901855056311040,152620265,725730,True,True,16.424,15.3440,16.3510,15.5890,-4.564,0.065,-7.795,0.048,0.104,0.058,-30.225,4.927,14.200,weak,True,1.208,2.831,2.435,5.266,4576.5,143.6,2.731,0.509,-0.813,0.094,SP_Ace+CaT_DP_consensus,-0.739,0.013,-0.86,0.118,0.402,0.338,SP_Ace,modeled,True,6.0,0.335,consistent,True,True,caution
292,273.363,-31.386,4048959643824239360,152589576,721782,True,True,16.061,15.1410,16.0790,15.3540,-4.118,0.060,-6.248,0.043,-0.014,0.054,-57.372,3.515,19.100,usable,True,1.476,3.143,2.488,5.631,4719.0,179.4,3.122,0.614,-0.745,0.096,SP_Ace+CaT_DP_consensus,-0.631,0.055,-0.823,0.124,0.242,0.27,SP_Ace,modeled,True,5.0,0.514,check,True,True,secondary
295,273.323,-31.671,4048901472792182016,152440010,701894,True,True,17.207,16.0480,16.7410,16.1580,-4.222,0.102,-7.984,0.074,0.354,0.087,-25.785,3.223,10.200,weak,True,0.945,2.663,2.286,4.949,5574.5,766.8,3.511,1.312,-0.72,0.094,SP_Ace+CaT_DP_consensus,-0.721,0.081,-0.72,0.028,0.18,0.558,SP_Ace,modeled,True,6.0,0.668,check,True,False,caution
310,273.474,-31.686,4048904290290280192,153006514,772738,True,True,16.085,14.7560,15.8120,14.9960,-5.084,0.056,-7.496,0.042,0.045,0.050,-34.250,3.460,15.400,usable,True,1.409,3.121,2.311,5.432,4602.0,109.6,2.372,0.549,-0.69,0.094,SP_Ace+CaT_DP_consensus,-0.732,0.038,-0.664,0.119,0.277,0.279,SP_Ace,modeled,True,6.0,0.339,consistent,True,True,secondary
312,273.419,-31.830,4048895120545675904,147829388,349587,True,True,16.988,15.9870,16.4330,16.2230,-4.572,0.216,-6.443,0.159,-0.589,0.308,-48.298,3.244,26.400,good,True,0.988,2.423,1.791,4.214,5094.5,208.9,2.234,0.638,-1.028,0.132,SP_Ace+CaT_DP_consensus,-1.002,0.07,-1.12,0.277,0.1,0.893,SP_Ace,modeled,False,5.0,7.896,check,True,False,RV_CaT_only
321,273.590,-31.392,4048935248415293056,153439845,821446,True,True,15.568,14.6700,15.8420,15.0090,-3.871,0.096,-8.761,0.074,-0.385,0.105,-41.307,3.697,18.900,usable,True,1.524,2.958,2.447,5.405,4359.5,100.0,2.214,0.38,-0.888,0.094,SP_Ace+CaT_DP_consensus,-0.83,0.068,-0.925,0.096,0.317,0.224,SP_Ace,modeled,True,6.0,0.255,check,True,True,secondary
330,273.634,-31.507,4048907283993769728,153602722,838744,True,True,14.354,13.3960,14.7650,13.7380,-3.319,0.034,-7.044,0.023,0.066,0.037,-37.732,3.775,20.900,good,True,1.767,3.645,3.347,6.992,4050.0,154.8,2.002,0.311,-0.59,0.1,SP_Ace+CaT_DP_consensus,-0.487,0.13,-0.673,0.135,0.261,0.27,SP_Ace,modeled,True,6.0,0.397,consistent,True,True,primary
345,273.558,-31.718,4048891508467880448,153321478,808474,True,True,16.411,14.9640,16.2240,15.3400,-3.940,0.062,-7.292,0.045,-0.045,0.066,-50.018,3.239,17.900,usable,True,1.003,2.752,2.047,4.798,4741.5,174.8,2.043,0.648,-1.019,0.126,SP_Ace+CaT_DP_consensus,-0.975,0.066,-1.127,0.233,0.202,0.658,SP_Ace,modeled,True,6.0,0.055,check,True,True,secondary
352,273.667,-31.633,4048893539992811648,153720259,850160,True,True,15.987,14.6610,15.8790,15.0130,-3.151,0.250,-7.162,0.183,-1.021,0.285,-61.056,4.396,14.700,weak,True,1.309,3.584,2.516,6.099,4329.0,100.0,2.541,0.309,-0.608,0.094,SP_Ace+CaT_DP_consensus,-0.55,0.013,-0.645,0.066,0.243,0.214,SP_Ace,modeled,True,6.0,1.614,check,True,True,caution
376,273.759,-31.645,4048892990339159936,154043499,878645,True,True,15.367,14.1730,15.3030,14.4520,-3.352,0.040,-5.886,0.033,0.137,0.049,-50.691,3.391,17.500,usable,True,1.519,3.246,2.651,5.897,4360.0,100.0,2.531,0.375,-0.673,0.094,SP_Ace+CaT_DP_consensus,-0.702,0.066,-0.655,0.083,0.253,0.225,SP_Ace,modeled,True,5.0,0.158,check,True,True,secondary
385,273.906,-31.747,4045909323692095360,154549041,914200,True,True,14.241,13.0250,14.9770,13.8160,-4.701,0.032,-6.056,0.024,0.089,0.036,-43.818,3.391,12.800,weak,True,1.874,3.589,3.002,6.591,3856.5,100.0,1.426,0.626,-0.622,0.116,SP_Ace+CaT_DP_consensus,-0.676,0.157,-0.56,0.17,0.197,0.488,SP_Ace,modeled,True,6.0,1.441,check,True,False,caution
394,273.924,-31.774,4045908464698555264,154608168,917468,True,True,15.764,14.6110,15.7790,14.9500,-5.012,0.051,-8.294,0.039,0.137,0.055,-57.079,3.382,17.500,usable,True,1.491,3.055,2.485,5.540,4795.0,103.0,3.163,0.341,-0.626,0.094,SP_Ace+CaT_DP_consensus,-0.753,0.059,-0.545,0.103,0.129,0.265,SP_Ace,modeled,True,5.0,0.577,check,True,False,secondary
396,273.538,-31.784,4048885186278943104,153247939,800321,True,True,16.741,15.4660,16.4420,15.7040,-3.306,0.073,-7.100,0.055,0.054,0.068,-64.957,3.717,14.900,weak,True,1.369,3.293,2.164,5.458,5399.5,331.5,2.625,0.705,-0.542,0.132,SP_Ace+CaT_DP_consensus,-0.586,0.028,-0.385,0.281,0.143,0.513,SP_Ace,modeled,True,5.0,0.205,check,True,False,caution
