RA_deg,Dec_deg,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,RV_kms,pmRA_masyr,pmDec_masyr,ReleaseTime_Myr
268.74737283719253,-25.797571227480244,3.7610119952121472,-0.17593414180860711,1.5634715555117709,0.6366852146437221,-0.033794309517101634,12.466253061443842,4.24722244411251,-3.9841538719662104,-1000.0000000001588
283.8795113450668,-27.424324935124336,8.52528103959484,-12.94870081716585,-2.2213618208072807,0.8850401667149854,-1.366985399131912,-145.47561447196674,-1.2395157173512104,-5.240842963758689,-1000.0000000001588
269.81044103878247,-12.155138928105925,16.103590010280335,5.763884411617712,0.32070649108523125,2.4367703063899455,0.885965792320344,31.860243128080732,-4.75429737456391,-1.855772866423788,-999.9000000001588
257.741411178233,-29.25113249844292,355.54225734459646,6.131018067113259,-1.450153869223893,-0.5199983282295594,0.7223688699158595,-198.83897231704285,0.7452782143590236,-5.913243048357362,-999.9000000001588
277.80240470750226,-22.002085091752743,11.062748369311548,-5.629355140890008,0.035708182357280634,1.5953748738451587,-0.8196056858978715,31.51776397572129,-2.73377396258207,0.23606708902878207,-999.8000000001588
283.37845118888737,-27.670319683746957,8.108785270271365,-12.643879399064323,-2.1397488101083133,0.8528262249893663,-1.3508552376497498,-151.8512632354584,-1.0438043772552967,-5.154072117287532,-999.8000000001588
273.8173562121929,-24.51373909942805,7.127228494684471,-3.550577736188337,1.7823226339000986,1.2386192258353839,-0.6239859950720521,-13.899238527405332,3.08148879017658,-3.687925658936,-999.7000000001588
273.91623148946434,-28.671996548912126,3.4899598492876747,-5.588864238433411,-2.209046445362983,0.36069711463549736,-0.5741653483823119,-98.40554828030638,3.575174281944067,-8.255790828193486,-999.7000000001588
266.04849162268385,-26.129892089448372,2.228727024838073,1.7347707790349818,1.6110643876870157,0.3787552097897089,0.2908725844824648,25.726904768615626,3.841429264150956,-3.9878186970402623,-999.6000000001587
276.1859218225877,-31.23779889654175,2.1017531471187594,-8.513143469355027,-1.163237306156611,0.25547230800556064,-1.0397405179049548,-172.94920956868984,2.3042473005945276,-5.595343550120384,-999.6000000001587
